iter	TotalF1:average=Macro	MultiClass
0	0.4751625783	1.093031885
1	0.4887633475	1.086722861
2	0.5099261976	1.078570343
3	0.5091905809	1.07337461
4	0.5020040681	1.067428173
5	0.5025897711	1.063234637
6	0.509071209	1.057077238
7	0.5226031168	1.051779447
8	0.5247031461	1.04849908
9	0.5318525966	1.042175265
10	0.5342033321	1.037336281
11	0.541756951	1.031522975
12	0.5446396685	1.028888825
13	0.5356729798	1.025970313
14	0.5418843489	1.021355661
15	0.5399768171	1.018344439
16	0.5379447965	1.015358631
17	0.5365855765	1.014398353
18	0.5443369693	1.009566622
19	0.5480747316	1.005621552
20	0.5490066921	1.003647523
21	0.5477042759	1.001616976
22	0.5524139106	0.9974185052
23	0.5497601633	0.9958418288
24	0.5505497177	0.9939827225
25	0.5519406964	0.9913872981
26	0.5516440738	0.988962693
27	0.5517459458	0.9865996981
28	0.5536647578	0.9853276538
29	0.5547515935	0.9830507645
30	0.5577228957	0.9815196549
31	0.5553864119	0.9792871429
32	0.5583731377	0.9767047617
33	0.5592042434	0.9750391235
34	0.559032614	0.9737461291
35	0.5589573019	0.9723437229
36	0.5593438672	0.9710247244
37	0.5602260748	0.9685424939
38	0.5611049068	0.9665691215
39	0.5610909694	0.9654829045
40	0.565046934	0.9627443699
41	0.5668299668	0.9601884213
42	0.5665437578	0.9586083761
43	0.5669025191	0.9576578163
44	0.5692646567	0.9561445647
45	0.5698634336	0.9549116065
46	0.5715267563	0.9536660458
47	0.5716757675	0.9524391716
48	0.5716936804	0.9514783832
49	0.5716572008	0.950793079
50	0.5714107381	0.9495036121
51	0.5711310748	0.9484672233
52	0.5704743777	0.9478729074
53	0.5738616985	0.9460331516
54	0.5742880875	0.9452316284
55	0.5779083111	0.9423843055
56	0.5762016052	0.9413242613
57	0.5764769573	0.9405750458
58	0.5776287188	0.9390050955
59	0.5799336002	0.937503941
60	0.5806976352	0.9366678605
61	0.581142132	0.9355253445
62	0.581222887	0.9351668214
63	0.5810861194	0.9342512854
64	0.5816709335	0.9328888688
65	0.5822021454	0.9326896099
66	0.5834711687	0.9312634944
67	0.5850402394	0.9303486594
68	0.5846399413	0.9297458579
69	0.5849506424	0.9290010658
70	0.5855995736	0.927921573
71	0.5877568455	0.9259632591
72	0.5884360805	0.9251309626
73	0.5880033234	0.924291671
74	0.5884758496	0.9237416063
75	0.5885929751	0.9231650805
76	0.5883055005	0.9224341956
77	0.5879007805	0.9215793114
78	0.5888205451	0.9208112083
79	0.5894386384	0.9197494744
80	0.5887906814	0.9190362393
81	0.5909997949	0.9172539624
82	0.5921777063	0.9164315169
83	0.5924288981	0.9153918728
84	0.5932930223	0.914601814
85	0.5956764936	0.9130381154
86	0.5961387154	0.9125586583
87	0.5956770177	0.9120941978
88	0.5942131087	0.9114460384
89	0.5946058467	0.9106473967
90	0.5942787122	0.9099617691
91	0.5953647533	0.9093009173
92	0.5949409793	0.9084014726
93	0.5957356618	0.907652656
94	0.595860045	0.9071810839
95	0.5959959146	0.9066879669
96	0.5972512411	0.9058556869
97	0.5960285222	0.9052249217
98	0.5970665575	0.9047191455
99	0.5970777224	0.9047016684
100	0.5971104558	0.904620306
101	0.5985360384	0.9037545777
102	0.5988541822	0.9036322097
103	0.6006906869	0.9021926121
104	0.6007651142	0.90171657
105	0.6009794359	0.9009295397
106	0.60082355	0.9005337339
107	0.6021527831	0.8995703799
108	0.6031958754	0.8990874859
109	0.6036839488	0.8983617673
110	0.6040694416	0.8980253593
111	0.6036368502	0.897706254
112	0.6054152997	0.8971182818
113	0.6052168875	0.8970351185
114	0.6056706824	0.8957854072
115	0.6084350792	0.8945193755
116	0.6092740974	0.8939566029
117	0.6094263678	0.8931787189
118	0.6103590724	0.8925836497
119	0.6121154172	0.8915970924
120	0.6127918374	0.8904707183
121	0.6125248294	0.8900282305
122	0.6127057048	0.8889206185
123	0.6123733294	0.888430635
124	0.6129766336	0.8878674817
125	0.613438966	0.8870117024
126	0.6135603387	0.8866909481
127	0.6139513969	0.8862373708
128	0.6141288526	0.886169824
129	0.6145807998	0.885561651
130	0.6145555371	0.8850491935
131	0.61563198	0.8844700288
132	0.6158163401	0.8844616262
133	0.6161225341	0.8835617139
134	0.616320627	0.88332518
135	0.6167485543	0.8829421427
136	0.61782941	0.8823883989
137	0.6176237674	0.881668076
138	0.6175886168	0.88136766
139	0.6183464016	0.8805776508
140	0.6194422366	0.8796906281
141	0.620433673	0.8793012412
142	0.6214912471	0.8788303267
143	0.622702243	0.8782766281
144	0.6225200878	0.8778864636
145	0.6223010373	0.8772888262
146	0.623415036	0.876844835
147	0.6237859334	0.8762421172
148	0.6245973553	0.8756097052
149	0.6247630493	0.87527785
150	0.6253128434	0.875012897
151	0.6251908898	0.8747371073
152	0.6258893089	0.8736001766
153	0.6268122576	0.8722586961
154	0.6275465998	0.8718516057
155	0.6282190028	0.8708737214
156	0.6283767383	0.8705510007
157	0.6286553342	0.8703996915
158	0.6294846196	0.8697701447
159	0.6294518922	0.8691019723
160	0.6311493731	0.8684244534
161	0.6333757917	0.8677066267
162	0.6339337692	0.8672861621
163	0.6328049752	0.8667411682
164	0.6338549644	0.8663474187
165	0.6341547362	0.8659280409
166	0.6335665841	0.8659079119
167	0.6339861491	0.8657278859
168	0.6342847743	0.8654278159
169	0.6353496206	0.8650851766
170	0.6370307493	0.8632367122
171	0.635912755	0.8628244244
172	0.6372817666	0.8624724667
173	0.6368481276	0.8617560477
174	0.6366073766	0.8614502403
175	0.637220835	0.8610353911
176	0.6373402231	0.86078192
177	0.6384404294	0.8600308764
178	0.6386641089	0.8596014083
179	0.6389728588	0.859343957
180	0.6392391454	0.8589691993
181	0.6385021046	0.8585923928
182	0.6384107143	0.8578100895
183	0.6385302305	0.857534444
184	0.6414627329	0.8565400542
185	0.6411413146	0.8553081866
186	0.6409925379	0.8549363005
187	0.6409559807	0.8549272294
188	0.6410179529	0.8548587857
189	0.6399150469	0.8544205632
190	0.6402278136	0.8541817102
191	0.6418569311	0.8537886872
192	0.6415755941	0.8534577698
193	0.6428289673	0.8529524937
194	0.6426765422	0.8528972906
195	0.641802492	0.8522052957
196	0.642455679	0.8517760617
197	0.6430720689	0.8508464329
198	0.6428899199	0.8508276272
199	0.6438099822	0.8500170292
200	0.645229854	0.8493395873
201	0.6444647551	0.8488318552
202	0.644844079	0.8484607528
203	0.6450246875	0.8480402116
204	0.6451859726	0.8473311736
205	0.6457184577	0.846640131
206	0.6451750942	0.8456089852
207	0.6451862873	0.8456089646
208	0.6463076202	0.8448334954
209	0.6467439101	0.844426501
210	0.6465208178	0.8441282804
211	0.6472996544	0.8437324145
212	0.6495632084	0.8431380013
213	0.6486572622	0.8422409884
214	0.6495166532	0.8419132168
215	0.6501680984	0.8415532277
216	0.650469914	0.8408745172
217	0.6513841211	0.8404713524
218	0.6517680171	0.8397850707
219	0.6539559577	0.8390680486
220	0.6536669208	0.8387653381
221	0.6529628767	0.8384645534
222	0.6527643625	0.8382258033
223	0.6532345421	0.8378817859
224	0.6527952582	0.8378548376
225	0.6539915244	0.8376261093
226	0.6546131466	0.8372306921
227	0.6542049355	0.836747507
228	0.6544068363	0.8361229453
229	0.6547151243	0.8357880555
230	0.6550384325	0.8353759655
231	0.6556804823	0.8347046674
232	0.6568819075	0.8343569285
233	0.6574754075	0.8337962613
234	0.6584441815	0.8334442491
235	0.6590194957	0.8329888987
236	0.6589374163	0.8325681276
237	0.660202967	0.8322427568
238	0.6602242892	0.8317039789
239	0.6602158893	0.831346537
240	0.6612721329	0.8306920329
241	0.6612617612	0.8299137985
242	0.6624681763	0.8297325445
243	0.6617611567	0.8292302429
244	0.662344699	0.8285040551
245	0.6631530089	0.8282619868
246	0.662866511	0.8279969069
247	0.6640609472	0.8273947776
248	0.6641318561	0.8268222332
249	0.6649564483	0.8263747828
250	0.6644570531	0.8257910633
251	0.6650126765	0.8253418205
252	0.6657372008	0.8250727385
253	0.6669588918	0.8234954676
254	0.6679974714	0.8227681516
255	0.668364067	0.8219161782
256	0.6693197175	0.8213965792
257	0.6693104316	0.8202250568
258	0.669509631	0.8199870102
259	0.6704653214	0.8194002263
260	0.6712164769	0.8190905383
261	0.6713610591	0.8187041422
262	0.6719712542	0.8179824056
263	0.6721087698	0.8173609363
264	0.6729152313	0.8170785292
265	0.6726046767	0.8166799251
266	0.6726116385	0.8166465781
267	0.6723876099	0.8162908721
268	0.6724978211	0.815684982
269	0.6736724002	0.8151098041
270	0.6739677728	0.8145393838
271	0.6735151244	0.8139935877
272	0.6742148632	0.8126017169
273	0.6753652183	0.8122286463
274	0.6752702991	0.8117951963
275	0.6760147334	0.8112954207
276	0.6774240129	0.8109208417
277	0.6783201733	0.8103424691
278	0.6790928234	0.8099951846
279	0.6791931703	0.8096173391
280	0.6792126001	0.8087257695
281	0.680790365	0.8076044553
282	0.681446389	0.8070528065
283	0.6829321777	0.8064232259
284	0.6822868813	0.8059305843
285	0.6828126995	0.8048094222
286	0.6834623438	0.8041863648
287	0.683924723	0.8034635022
288	0.684676523	0.8027407396
289	0.6850586339	0.8021738185
290	0.685947883	0.8011346237
291	0.6868546534	0.8008849201
292	0.6876540089	0.8003267664
293	0.68770219	0.7998099961
294	0.6880249308	0.7987111351
295	0.6862158987	0.7980915533
296	0.6870284344	0.7977697832
297	0.6865081449	0.797231582
298	0.6862571656	0.796930723
299	0.686811855	0.7966930366
300	0.687532479	0.7960787223
301	0.6886755906	0.7954568379
302	0.6890233826	0.7947151178
303	0.6894806396	0.7943522618
304	0.689496472	0.7937065868
305	0.6894335843	0.7932598477
306	0.6911613379	0.7927289305
307	0.6923104253	0.7922280486
308	0.693016454	0.791920373
309	0.6937327503	0.7913162832
310	0.6942969609	0.7909338398
311	0.694804334	0.7904233586
