iter	Passed	Remaining
0	60	72308
1	72	43652
2	88	35311
3	100	29953
4	112	26937
5	125	24923
6	137	23370
7	149	22268
8	161	21423
9	173	20602
10	186	20210
11	198	19669
12	212	19407
13	224	19005
14	239	18898
15	252	18697
16	270	18800
17	273	17970
18	284	17697
19	298	17582
20	309	17361
21	321	17223
22	334	17094
23	346	16989
24	358	16831
25	370	16729
26	382	16614
27	394	16522
28	406	16400
29	419	16363
30	430	16228
31	442	16143
32	454	16069
33	466	16002
34	477	15883
35	490	15861
36	502	15797
37	514	15739
38	525	15645
39	538	15618
40	550	15557
41	562	15515
42	573	15441
43	590	15511
44	601	15427
45	615	15432
46	626	15357
47	638	15316
48	649	15256
49	661	15207
50	671	15139
51	683	15093
52	694	15021
53	706	15003
54	718	14959
55	736	15048
56	747	14998
57	758	14942
58	770	14891
59	783	14891
60	795	14852
61	811	14891
62	820	14801
63	833	14787
64	844	14753
65	849	14600
66	862	14593
67	882	14686
68	893	14640
69	907	14656
70	919	14619
71	933	14618
72	945	14593
73	959	14593
74	970	14558
75	983	14550
76	995	14523
77	1011	14552
78	1023	14526
79	1036	14517
80	1048	14480
81	1060	14456
82	1071	14425
83	1084	14406
84	1095	14371
85	1107	14349
86	1119	14318
87	1132	14307
88	1143	14279
89	1156	14269
90	1167	14223
91	1179	14205
92	1190	14174
93	1203	14162
94	1214	14126
95	1226	14102
96	1236	14064
97	1249	14051
98	1260	14017
99	1265	13916
100	1270	13819
101	1281	13791
102	1289	13737
103	1301	13717
104	1314	13706
105	1323	13659
106	1335	13644
107	1346	13614
108	1359	13609
109	1371	13586
110	1383	13573
111	1392	13528
112	1405	13518
113	1411	13444
114	1424	13440
115	1436	13422
116	1449	13415
117	1460	13388
118	1471	13369
119	1483	13347
120	1495	13337
121	1507	13321
122	1520	13315
123	1532	13301
124	1551	13339
125	1563	13330
126	1576	13322
127	1588	13304
128	1594	13241
129	1605	13216
130	1618	13211
131	1633	13219
132	1640	13159
133	1652	13149
134	1664	13134
135	1676	13113
136	1687	13091
137	1698	13069
138	1708	13040
139	1721	13034
140	1733	13015
141	1745	13005
142	1756	12984
143	1770	12982
144	1782	12967
145	1794	12957
146	1806	12937
147	1818	12928
148	1830	12911
149	1839	12873
150	1848	12844
151	1860	12828
152	1872	12815
153	1885	12805
154	1895	12780
155	1908	12771
156	1919	12753
157	1928	12715
158	1938	12694
159	1951	12685
160	1963	12669
161	1976	12664
162	1987	12647
163	2000	12636
164	2013	12631
165	2025	12619
166	2031	12567
167	2043	12554
168	2054	12535
169	2067	12527
170	2079	12512
171	2091	12497
172	2101	12475
173	2114	12466
174	2124	12446
175	2138	12443
176	2149	12420
177	2162	12413
178	2173	12398
179	2186	12387
180	2198	12375
181	2212	12377
182	2225	12366
183	2238	12362
184	2250	12348
185	2263	12338
186	2275	12323
187	2279	12271
188	2284	12218
189	2295	12203
190	2312	12213
191	2322	12194
192	2334	12179
193	2346	12166
194	2354	12136
195	2366	12120
196	2379	12113
197	2391	12099
198	2397	12057
199	2408	12040
200	2420	12031
201	2431	12011
202	2444	12005
203	2455	11987
204	2469	11984
205	2480	11969
206	2493	11963
207	2495	11903
208	2507	11890
209	2521	11885
210	2532	11870
211	2545	11862
212	2555	11841
213	2569	11837
214	2580	11823
215	2593	11814
216	2604	11799
217	2619	11797
218	2630	11782
219	2643	11774
220	2654	11758
221	2668	11755
222	2679	11741
223	2693	11737
224	2698	11693
225	2710	11683
226	2721	11667
227	2735	11659
228	2746	11643
229	2759	11637
230	2770	11622
231	2783	11611
232	2794	11598
233	2807	11590
234	2819	11576
235	2832	11570
236	2844	11559
237	2858	11553
238	2870	11540
239	2883	11534
240	2895	11521
241	2908	11514
242	2921	11506
243	2936	11504
244	2949	11496
245	2962	11487
246	2974	11475
247	2986	11465
248	2998	11451
249	3012	11448
250	3025	11438
251	3036	11424
252	3047	11407
253	3061	11400
254	3072	11386
255	3085	11378
256	3097	11365
257	3110	11356
258	3121	11339
259	3133	11328
260	3144	11311
261	3156	11300
262	3166	11282
263	3178	11270
264	3190	11257
265	3203	11249
266	3208	11212
267	3221	11204
268	3234	11192
269	3246	11181
270	3257	11165
271	3268	11152
272	3280	11138
273	3291	11124
274	3303	11111
275	3316	11102
276	3327	11089
277	3339	11077
278	3351	11062
279	3363	11050
280	3375	11037
281	3388	11029
282	3399	11015
283	3412	11007
284	3425	10997
285	3437	10986
286	3449	10972
287	3461	10962
288	3473	10948
289	3486	10939
290	3497	10926
291	3510	10917
292	3523	10906
293	3534	10892
294	3547	10881
295	3563	10883
296	3575	10870
297	3593	10877
298	3606	10866
299	3623	10869
300	3636	10861
301	3651	10857
302	3663	10844
303	3676	10836
304	3688	10822
305	3700	10810
306	3711	10795
307	3723	10784
308	3734	10768
309	3747	10759
310	3759	10747
311	3772	10738
312	3784	10724
313	3796	10712
314	3807	10698
315	3821	10690
316	3832	10675
317	3845	10666
318	3857	10652
319	3868	10638
320	3880	10627
321	3893	10617
322	3904	10600
323	3917	10592
324	3929	10579
325	3942	10570
326	3954	10557
327	3967	10548
328	3978	10532
329	3991	10522
330	4002	10508
331	4016	10501
332	4028	10488
333	4041	10478
334	4053	10466
335	4066	10456
336	4078	10443
337	4090	10433
338	4102	10419
339	4114	10407
340	4125	10392
341	4138	10381
342	4149	10367
343	4161	10355
344	4172	10341
345	4184	10327
346	4195	10314
347	4209	10305
348	4222	10296
349	4236	10288
