side,horizon_minutes,fold,train_rows,calibration_rows,test_rows,train_end,calibration_start,calibration_end,test_start,test_end
LONG,15,1,45862,9085,9205,2026-06-02 10:15:19.209036+00:00,2026-06-02 14:30:21.953512+00:00,2026-06-15 02:30:03.409941+00:00,2026-06-15 07:00:11.823663+00:00,2026-06-28 06:15:09.080290+00:00
LONG,15,2,55072,9100,9205,2026-06-15 02:30:03.409941+00:00,2026-06-15 07:00:11.823663+00:00,2026-06-28 02:15:08.535588+00:00,2026-06-28 06:15:15.430844+00:00,2026-07-10 22:30:11.291076+00:00
LONG,15,3,64292,9070,9205,2026-06-28 02:15:08.535588+00:00,2026-06-28 06:15:15.430844+00:00,2026-07-10 18:30:03.537673+00:00,2026-07-10 22:30:18.019463+00:00,2026-07-23 12:15:22.361798+00:00
LONG,30,1,91292,18075,18320,2026-06-02 06:00:02.361394+00:00,2026-06-02 10:00:17.322822+00:00,2026-06-14 23:15:14.186628+00:00,2026-06-15 03:30:01.889189+00:00,2026-06-27 20:45:03.378853+00:00
LONG,30,2,109612,18080,18320,2026-06-14 23:15:14.186628+00:00,2026-06-15 03:30:01.889189+00:00,2026-06-27 16:45:02.714075+00:00,2026-06-27 20:45:09.062553+00:00,2026-07-10 14:00:10.455744+00:00
LONG,30,3,127937,18075,18320,2026-06-27 16:45:02.714075+00:00,2026-06-27 20:45:09.062553+00:00,2026-07-10 10:00:03.855809+00:00,2026-07-10 14:00:16.797617+00:00,2026-07-23 07:15:18.055256+00:00
LONG,60,1,91347,18085,18330,2026-06-02 05:00:13.073023+00:00,2026-06-02 09:15:03.064682+00:00,2026-06-14 22:30:11.117316+00:00,2026-06-15 02:45:03.246128+00:00,2026-06-27 20:00:16.815605+00:00
LONG,60,2,109677,18085,18330,2026-06-14 22:30:11.117316+00:00,2026-06-15 02:45:03.246128+00:00,2026-06-27 16:00:13.137596+00:00,2026-06-27 20:15:03.147020+00:00,2026-07-10 13:30:17.113402+00:00
LONG,60,3,128007,18085,18330,2026-06-27 16:00:13.137596+00:00,2026-06-27 20:15:03.147020+00:00,2026-07-10 09:30:11.338915+00:00,2026-07-10 13:45:02.510494+00:00,2026-07-23 07:00:22.530956+00:00
SHORT,15,1,45862,9085,9205,2026-06-02 10:15:19.209036+00:00,2026-06-02 14:30:21.953512+00:00,2026-06-15 02:30:03.409941+00:00,2026-06-15 07:00:11.823663+00:00,2026-06-28 06:15:09.080290+00:00
SHORT,15,2,55072,9100,9205,2026-06-15 02:30:03.409941+00:00,2026-06-15 07:00:11.823663+00:00,2026-06-28 02:15:08.535588+00:00,2026-06-28 06:15:15.430844+00:00,2026-07-10 22:30:11.291076+00:00
SHORT,15,3,64292,9070,9205,2026-06-28 02:15:08.535588+00:00,2026-06-28 06:15:15.430844+00:00,2026-07-10 18:30:03.537673+00:00,2026-07-10 22:30:18.019463+00:00,2026-07-23 12:15:22.361798+00:00
SHORT,30,1,91292,18075,18320,2026-06-02 06:00:02.361394+00:00,2026-06-02 10:00:17.322822+00:00,2026-06-14 23:15:14.186628+00:00,2026-06-15 03:30:01.889189+00:00,2026-06-27 20:45:03.378853+00:00
SHORT,30,2,109612,18080,18320,2026-06-14 23:15:14.186628+00:00,2026-06-15 03:30:01.889189+00:00,2026-06-27 16:45:02.714075+00:00,2026-06-27 20:45:09.062553+00:00,2026-07-10 14:00:10.455744+00:00
SHORT,30,3,127937,18075,18320,2026-06-27 16:45:02.714075+00:00,2026-06-27 20:45:09.062553+00:00,2026-07-10 10:00:03.855809+00:00,2026-07-10 14:00:16.797617+00:00,2026-07-23 07:15:18.055256+00:00
SHORT,60,1,91347,18085,18330,2026-06-02 05:00:13.073023+00:00,2026-06-02 09:15:03.064682+00:00,2026-06-14 22:30:11.117316+00:00,2026-06-15 02:45:03.246128+00:00,2026-06-27 20:00:16.815605+00:00
SHORT,60,2,109677,18085,18330,2026-06-14 22:30:11.117316+00:00,2026-06-15 02:45:03.246128+00:00,2026-06-27 16:00:13.137596+00:00,2026-06-27 20:15:03.147020+00:00,2026-07-10 13:30:17.113402+00:00
SHORT,60,3,128007,18085,18330,2026-06-27 16:00:13.137596+00:00,2026-06-27 20:15:03.147020+00:00,2026-07-10 09:30:11.338915+00:00,2026-07-10 13:45:02.510494+00:00,2026-07-23 07:00:22.530956+00:00
