entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,terminal_loss_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_events,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_events,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_events,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_events,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_events,t100_s100_resolved_target_win_rate
15m,DAILY_4H,15,904,26.604182266717583,14.372713646898516,5.91827027619285,35.902920550825996,62.1377096590965,-22.770348621668255,-15.269214756822858,-51.27902756555091,1.576925064889697,-1.2755700103234124,0.4723451327433628,0.5210176991150443,6.728982300884955,6.0,0.34845132743362833,5.0,0.15597345132743362,7.0,0.03650442477876106,6.0,0.2975663716814159,0.2577433628318584,502,0.5358565737051793,0.12942477876106195,0.28982300884955753,379,0.3087071240105541,0.1504424778761062,0.09955752212389381,226,0.6017699115044248,0.034292035398230086,0.10619469026548672,127,0.2440944881889764,0.03650442477876106,0.016592920353982302,48,0.6875
15m,DAILY_4H,30,904,37.97468096889115,21.520313164540283,9.041534806308317,47.935693368275636,90.7698572711635,-32.207843396082154,-21.093840840519796,-77.2416349005881,1.4734907832661577,-2.217518621963066,0.47013274336283184,0.5265486725663717,13.525442477876107,13.0,0.4690265486725664,7.0,0.24004424778761063,10.0,0.08075221238938053,16.0,0.37831858407079644,0.34845132743362833,657,0.5205479452054794,0.18141592920353983,0.3993362831858407,525,0.31238095238095237,0.2245575221238938,0.1570796460176991,345,0.5884057971014492,0.07632743362831858,0.18030973451327434,232,0.2974137931034483,0.08075221238938053,0.048672566371681415,117,0.6239316239316239
15m,DAILY_4H,60,904,51.60553685146265,32.99054595527484,11.749518556587457,67.10634146343929,121.31079457675736,-46.611987962149165,-30.964267228315578,-112.76368022883874,-3.1163088015021767,-5.241948345256486,0.4502212389380531,0.5464601769911505,25.759955752212388,22.0,0.5707964601769911,10.0,0.3495575221238938,17.0,0.14601769911504425,26.0,0.4269911504424779,0.42035398230088494,766,0.5039164490861618,0.24225663716814158,0.5077433628318584,678,0.3230088495575221,0.31305309734513276,0.25663716814159293,515,0.5495145631067961,0.13274336283185842,0.2942477876106195,386,0.31088082901554404,0.14380530973451328,0.10398230088495575,224,0.5803571428571429
15m,DAILY_4H,120,904,72.62739515787868,44.222392206109134,16.14842248451154,96.81213389865162,175.53440445318284,-67.04233702611431,-45.392771413231834,-150.8264434465637,1.5552076203449374,-6.219133524316689,0.44579646017699115,0.5519911504424779,52.23119469026549,43.0,0.661504424778761,13.0,0.4657079646017699,29.0,0.24446902654867256,48.0,0.4657079646017699,0.46349557522123896,840,0.5011904761904762,0.29646017699115046,0.577433628318584,790,0.3392405063291139,0.39601769911504425,0.36172566371681414,685,0.5226277372262774,0.19800884955752213,0.4314159292035398,569,0.3145869947275923,0.2323008849557522,0.18805309734513273,380,0.5526315789473685
15m,DAILY_4H,240,904,104.41215913374269,66.87893366669306,24.764071451487403,133.55201253942127,250.50303605872023,-92.91868309662357,-64.2973675409464,-200.26626621991218,3.7939499143207693,-3.4774753196320507,0.4756637168141593,0.5221238938053098,106.74225663716814,99.5,0.7466814159292036,18.0,0.5907079646017699,41.5,0.3672566371681416,86.5,0.4889380530973451,0.48672566371681414,882,0.5011337868480725,0.3274336283185841,0.620575221238938,857,0.3453908984830805,0.45685840707964603,0.41814159292035397,791,0.5221238938053098,0.2665929203539823,0.5254424778761062,716,0.3365921787709497,0.32853982300884954,0.290929203539823,560,0.5303571428571429
15m,DAILY_4H_1H,15,446,31.539725378458353,19.39497925376843,7.169968046055741,40.96203386276143,72.71782701493201,-25.225322351502975,-15.634933935142481,-57.98297333662661,1.9806333976083057,-0.9820203719224097,0.4820627802690583,0.5134529147982063,6.948430493273543,6.0,0.4327354260089686,5.0,0.18834080717488788,7.5,0.04484304932735426,7.0,0.3542600896860987,0.2645739910313901,276,0.572463768115942,0.14798206278026907,0.31614349775784756,207,0.3188405797101449,0.17713004484304934,0.11883408071748879,132,0.5984848484848485,0.04035874439461883,0.13228699551569506,77,0.23376623376623376,0.04484304932735426,0.026905829596412557,32,0.625
15m,DAILY_4H_1H,30,446,43.748573474003265,28.681056001009786,10.300698538256437,56.916739331108744,95.64921272087523,-37.24832695902471,-22.163197756477903,-93.51101506852422,0.39994936256384706,-1.4357661164809965,0.4798206278026906,0.515695067264574,13.522421524663677,12.0,0.547085201793722,7.0,0.29596412556053814,11.5,0.09417040358744394,17.0,0.4349775784753363,0.33856502242152464,345,0.5623188405797102,0.21973094170403587,0.4103139013452915,281,0.3487544483985765,0.2757847533632287,0.1905829596412556,208,0.5913461538461539,0.08520179372197309,0.23094170403587444,141,0.2695035460992908,0.09417040358744394,0.07399103139013453,75,0.56
15m,DAILY_4H_1H,60,446,58.49776161828783,39.58463780099341,12.996980625151199,78.25939148069283,130.80431388892254,-52.51622110258153,-32.212217869085904,-123.67641885110802,-5.341213454895342,-6.88490169675593,0.4484304932735426,0.5493273542600897,24.80269058295964,22.0,0.6345291479820628,8.0,0.4013452914798206,16.0,0.1681614349775785,26.0,0.47757847533632286,0.40358744394618834,393,0.5419847328244275,0.27802690582959644,0.5089686098654709,351,0.35327635327635326,0.35874439461883406,0.2937219730941704,291,0.5498281786941581,0.15246636771300448,0.34977578475336324,224,0.30357142857142855,0.16591928251121077,0.14349775784753363,138,0.5362318840579711
15m,DAILY_4H_1H,120,446,82.11158938697754,54.90638929858905,18.80933347150282,109.57721047423318,196.95809215493853,-73.85554517495133,-53.412631628358966,-162.29711914099443,2.6137877325130394,-7.816708964863417,0.4484304932735426,0.5493273542600897,52.17488789237668,42.0,0.7130044843049327,10.0,0.5291479820627802,26.0,0.2757847533632287,44.0,0.5134529147982063,0.4327354260089686,422,0.542654028436019,0.3430493273542601,0.5582959641255605,402,0.3805970149253731,0.45067264573991034,0.37668161434977576,369,0.5447154471544715,0.2242152466367713,0.47085201793721976,310,0.3225806451612903,0.2623318385650224,0.2242152466367713,217,0.5391705069124424
15m,DAILY_4H_1H,240,446,120.82898572088331,78.4745568096179,31.031246683412284,165.2868988915568,280.16141536125974,-99.21716652896852,-72.1554206054198,-215.0819226537787,7.0034310803644635,-2.607728249284791,0.4798206278026906,0.5179372197309418,110.45739910313901,107.5,0.7914798206278026,11.0,0.6502242152466368,34.5,0.4125560538116592,84.5,0.531390134529148,0.4484304932735426,437,0.5423340961098398,0.3744394618834081,0.5896860986547086,430,0.3883720930232558,0.5112107623318386,0.40582959641255606,409,0.5574572127139364,0.30269058295964124,0.5448430493273543,378,0.35714285714285715,0.3632286995515695,0.31614349775784756,303,0.5346534653465347
