feature,importance
tf1h_dow_sin,6.28435681628987
tf1h_hour_cos,5.907926046748244
tf1h_hour_sin,5.716784960970281
tf1h_active_level_total,5.576305023971135
tf4h_hour_sin,5.368704589575859
tf24h_upper_active_levels,4.817441594902157
tf4h_hour_cos,4.692198872112769
tf24h_current_price,4.379091700760398
tf1h_dow_cos,4.3713804473394235
tf1h_current_price,3.7627961345157055
tf24h_hour_sin,3.3048687831179806
tf24h_upper_total_volume,3.0991310335284177
tf4h_current_price,2.954316719206592
tf24h_lower_total_volume,2.902650898122837
tf1h_is_weekend_utc,2.6547757630461044
tf4h_dow_cos,2.5191099306326548
tf24h_hour_cos,2.3631674033011842
tf24h_active_level_difference,2.3118324205162355
tf24h_lower_active_levels,2.257087066597692
tf4h_active_level_total,1.9295850852264953
tf24h_dow_cos,1.7330647337828284
tf1h_current_price_change_ratio_60m,1.4582114272063351
tf4h_dow_sin,1.4071499501209823
tf24h_active_level_total,1.3749021292202852
tf1h_current_price_change_ratio_30m,1.201730444947875
tf4h_lower_active_levels,1.1277445741880838
tf24h_upper_distance_pct,0.975877582230434
tf24h_dow_sin,0.971762749792616
tf1h_current_price_change_ratio_15m,0.8594565783614219
tf4h_upper_active_levels,0.7653383838829831
tf24h_lower_distance_pct,0.7292742506333322
tf1h_current_price_change_ratio_5m,0.6322294488213871
tf4h_lower_active_levels_change_ratio_60m,0.6255536281538815
tf24h_current_price_change_ratio_60m,0.5757457898151958
tf1h_lower_total_volume,0.5484483416410129
tf4h_active_level_difference,0.5267704106178024
tf24h_upper_pool_volume,0.5170590247279826
tf24h_lower_active_levels_delta_60m,0.39612346524065256
tf24h_lower_active_levels_change_ratio_30m,0.3913184672459865
tf1h_lower_active_levels_delta_60m,0.3462162802585108
tf24h_lower_active_levels_change_ratio_60m,0.3436409460737446
tf4h_is_weekend_utc,0.3341391024376812
tf1h_upper_total_volume,0.31169547498356803
mtf_signed_distance_edge_range,0.3043138290739972
tf4h_current_price_change_ratio_15m,0.26326622108960435
tf4h_history_actual_minutes_30m,0.26271407963430277
mtf_topology_imbalance_range,0.2461905917276166
tf4h_current_price_change_ratio_30m,0.2412465722448402
mtf_topology_imbalance_4h_minus_24h,0.2346410656694639
tf1h_lower_total_volume_delta_60m,0.2315016912032066
tf24h_upper_active_levels_change_ratio_60m,0.22781134276331663
tf1h_current_price_delta_60m,0.19812047148321063
tf4h_upper_total_volume,0.19167377635663213
tf4h_lower_total_volume,0.1716395294666238
tf1h_lower_total_volume_change_ratio_60m,0.1551593458073841
tf1h_history_actual_minutes_60m,0.15068538226272205
tf1h_upper_active_levels_change_ratio_60m,0.14257770480223536
tf4h_current_price_change_ratio_60m,0.13685456548256353
tf24h_topology_imbalance,0.1359317899792201
tf24h_current_price_delta_60m,0.12089940097365673
tf1h_lower_active_levels_change_ratio_60m,0.11954415298522887
tf24h_upper_active_levels_delta_60m,0.11656233232533411
tf4h_lower_active_levels_change_ratio_30m,0.11387122742615104
price_return_15m,0.10398599805071677
tf4h_lower_total_volume_change_ratio_60m,0.09950266106290215
price_return_30m,0.09532061701695324
tf24h_history_actual_minutes_30m,0.08452134568450063
tf4h_current_price_delta_60m,0.08222482315655343
tf24h_lower_active_levels_delta_30m,0.07144077359228491
tf4h_upper_active_levels_change_ratio_60m,0.06167862145443101
tf1h_upper_pool_volume,0.04803322798171463
tf24h_lower_total_volume_delta_60m,0.047468299392178004
price_return_5m,0.04413372550945473
tf4h_lower_active_levels_delta_60m,0.03853413868926655
tf4h_topology_imbalance,0.03824238353671182
tf1h_distance_advantage_change_ratio_5m,0.03386692661072268
tf24h_distance_advantage,0.027748452843990794
tf4h_signed_distance_edge_delta_60m,0.01623707376741184
tf4h_lower_distance_pct_delta_60m,0.014891384026258577
tf4h_upper_total_volume_delta_60m,0.0
tf4h_total_volume_imbalance_check_change_ratio_60m,0.0
tf4h_total_volume_imbalance_check_delta_60m,0.0
tf4h_topology_imbalance_change_ratio_60m,0.0
tf24h_is_weekend_utc,0.0
tf24h_farther_pool_volume,0.0
tf4h_topology_imbalance_delta_60m,0.0
tf4h_upper_total_volume_change_ratio_60m,0.0
