feature,importance
tf1h_active_level_total,6.347168173665116
tf24h_lower_total_volume,5.4481070727015934
tf1h_hour_sin,4.710788020675942
tf4h_active_level_total,4.041540786665152
tf4h_hour_cos,3.8712403199683427
tf1h_hour_cos,3.3503057106830303
tf24h_upper_active_levels,3.33504552440422
tf1h_dow_sin,3.161777361073745
tf4h_lower_active_levels,2.9845768575161182
tf4h_upper_active_levels,2.850727216436574
tf4h_hour_sin,2.841588970975515
tf1h_is_weekend_utc,2.4743128431986956
tf24h_active_level_total,2.3664653282756416
tf24h_lower_active_levels,2.2721889232858836
tf24h_upper_total_volume,2.2042060520574123
tf24h_active_level_difference,2.1103244804294623
tf1h_dow_cos,1.8852429042287189
tf4h_active_level_difference,1.7127248973426525
tf24h_hour_sin,1.5792119359497294
tf1h_current_price_change_ratio_15m,1.4636203437957676
tf4h_lower_total_volume,1.4313389563163699
tf4h_dow_sin,1.428230650663621
tf1h_lower_total_volume_delta_60m,1.3041229282228488
tf24h_hour_cos,1.0909296247370495
tf4h_lower_active_levels_change_ratio_60m,1.032372508127503
tf1h_lower_active_levels,0.982566760418942
tf1h_current_price_change_ratio_5m,0.9728429293055728
tf1h_current_price_change_ratio_60m,0.9551355914944489
tf4h_dow_cos,0.8971610993656686
tf24h_lower_active_levels_change_ratio_60m,0.890322355446304
tf24h_dow_sin,0.8896494821561511
tf1h_lower_total_volume,0.8492827104499077
tf24h_lower_total_volume_delta_30m,0.8462947267868969
tf1h_upper_active_levels_change_ratio_60m,0.8216434730724909
tf4h_upper_total_volume,0.7730757704233537
tf4h_upper_active_levels_delta_60m,0.681723268133555
tf4h_lower_total_volume_change_ratio_60m,0.630294236691764
tf24h_upper_pool_volume,0.6255171375388207
tf1h_current_price_change_ratio_30m,0.6224581274551945
tf24h_upper_active_levels_change_ratio_60m,0.5640513770935864
tf1h_upper_active_levels,0.5286866625917462
tf1h_lower_active_levels_delta_60m,0.5254792640747628
tf24h_dow_cos,0.5115841896013957
tf24h_lower_total_volume_delta_60m,0.49017144518582784
tf1h_upper_total_volume_delta_60m,0.471679981541613
tf1h_active_level_difference,0.45260278747311183
tf4h_lower_active_levels_delta_60m,0.4521507890965285
tf1h_upper_total_volume,0.4325883873844054
mtf_topology_imbalance_4h_minus_24h,0.3983332166537319
tf4h_upper_active_levels_delta_30m,0.39338230741598645
mtf_distance_pressure_ratio_range,0.38863610756356104
tf4h_upper_active_levels_change_ratio_60m,0.38548030113550374
tf1h_upper_active_levels_delta_60m,0.36443399524604225
tf24h_lower_active_levels_change_ratio_30m,0.3589153523675101
tf4h_lower_total_volume_delta_60m,0.3551595480552378
tf1h_current_price_delta_30m,0.34741601531020444
tf24h_lower_active_levels_delta_60m,0.3440980900608399
tf4h_current_price_change_ratio_15m,0.3420920677100447
tf1h_lower_active_levels_change_ratio_60m,0.33936112010726693
tf1h_lower_active_levels_change_ratio_30m,0.32846734083116974
