feature,importance
tf1h_active_level_total,7.126935044792443
tf1h_hour_sin,5.805151954240577
tf1h_dow_sin,4.870564163197796
tf1h_hour_cos,4.038910120000869
tf24h_lower_active_levels,3.257373522429008
tf24h_lower_total_volume,3.1391188020416014
tf4h_upper_active_levels,3.029864502170235
tf4h_hour_sin,2.7947131306007535
tf4h_active_level_total,2.7642502376767526
tf4h_active_level_difference,2.6921377926925967
tf24h_upper_total_volume,2.653704478792517
tf4h_hour_cos,2.625502021084258
tf1h_current_price_change_ratio_15m,2.5175032222430453
tf24h_active_level_difference,2.4862376408258062
tf24h_upper_active_levels,2.4129806517289336
tf24h_active_level_total,2.3716279814133907
tf24h_hour_sin,2.278658063387187
tf24h_hour_cos,2.1979862560261565
tf4h_dow_sin,1.8260000228125521
tf4h_lower_total_volume,1.760689201375239
tf24h_dow_sin,1.5880794603110493
tf1h_dow_cos,1.5271937304931742
tf1h_current_price_change_ratio_5m,1.493825994993443
tf1h_current_price_change_ratio_30m,1.4754332742054908
tf1h_is_weekend_utc,1.3186505123258336
tf4h_lower_active_levels_change_ratio_60m,1.231781057233492
tf4h_dow_cos,1.125540827578
tf1h_current_price_change_ratio_60m,1.0739221928320961
tf24h_dow_cos,1.053068280973676
tf4h_lower_active_levels,1.0395620671377352
tf1h_active_level_difference,0.9808966076202396
tf1h_upper_total_volume,0.90083625699582
tf1h_current_price_delta_30m,0.8431915987034556
tf1h_lower_total_volume_delta_60m,0.725413488107782
tf1h_lower_active_levels,0.7080702863723597
tf4h_upper_active_levels_change_ratio_60m,0.7068281536497901
tf4h_lower_active_levels_delta_60m,0.6644602452787545
tf24h_upper_active_levels_change_ratio_30m,0.6339891643601058
tf24h_upper_active_levels_change_ratio_60m,0.6161700604841757
tf1h_lower_total_volume,0.5805193818646015
tf1h_upper_active_levels,0.5576456324524756
tf24h_lower_active_levels_change_ratio_60m,0.5483931586127415
tf1h_current_price_delta_15m,0.5083143522782125
tf4h_upper_total_volume,0.47810801563865163
tf4h_upper_active_levels_change_ratio_30m,0.4298696302693518
tf1h_upper_active_levels_change_ratio_30m,0.42600095100330765
tf24h_lower_active_levels_change_ratio_30m,0.41014998910357775
tf4h_lower_pool_volume,0.3965628955207569
tf1h_lower_active_levels_delta_60m,0.39221433364970354
tf4h_current_price_change_ratio_15m,0.3846154577098146
tf1h_upper_active_levels_change_ratio_5m,0.3708262199812144
tf4h_distance_advantage,0.35326995489714824
tf4h_current_price_change_ratio_60m,0.3383364852726629
tf1h_upper_active_levels_delta_60m,0.33547417715538713
mtf_topology_imbalance_4h_minus_24h,0.31446907752248465
tf24h_upper_active_levels_delta_30m,0.300617366256792
tf24h_current_price_change_ratio_60m,0.3000212266528916
tf1h_upper_active_levels_change_ratio_15m,0.29163565182604834
tf1h_lower_active_levels_delta_30m,0.28890981882842615
tf1h_upper_total_volume_delta_30m,0.2733628370933638
tf1h_distance_advantage,0.2556656480354812
tf4h_is_weekend_utc,0.25233764822539156
tf24h_lower_active_levels_delta_60m,0.23001318744961632
tf4h_upper_total_volume_delta_60m,0.21569416331855062
mtf_topology_imbalance_range,0.20696453455792452
tf1h_lower_active_levels_change_ratio_30m,0.1976393157418463
tf4h_upper_distance_pct,0.1941449259176465
tf4h_upper_active_levels_delta_30m,0.18969067282820157
tf1h_lower_distance_pct,0.1847174690978583
tf1h_upper_active_levels_change_ratio_60m,0.1825102241876401
tf24h_current_price_change_ratio_30m,0.18208222028290874
price_acceleration_5m_15m,0.17724698231659602
price_return_15m,0.1760359238092415
tf4h_lower_active_levels_change_ratio_30m,0.17424695798296808
tf24h_upper_pool_volume_change_ratio_30m,0.17193760862979476
tf4h_lower_total_volume_change_ratio_60m,0.16956933314343184
tf24h_lower_distance_pct,0.1627102424350971
tf24h_upper_pool_volume,0.1526793120561974
tf1h_upper_total_volume_change_ratio_30m,0.15034060267567712
price_return_5m,0.1493494891891624
tf1h_lower_active_levels_change_ratio_60m,0.1484981780740575
tf24h_upper_active_levels_delta_60m,0.14649410535397386
tf1h_distance_advantage_change_ratio_5m,0.14302336573290325
tf1h_lower_total_volume_change_ratio_60m,0.1354300407789513
tf4h_topology_imbalance,0.1329636729416458
tf4h_current_price_delta_60m,0.12960080437833213
tf24h_current_price_delta_60m,0.12508692598351562
tf1h_upper_distance_pct,0.12065368053253331
tf24h_upper_total_volume_delta_30m,0.11213520814089145
tf4h_lower_distance_pct,0.10813238445985142
tf4h_current_price_change_ratio_30m,0.10770800739002719
tf24h_history_actual_minutes_30m,0.10715107768665723
tf4h_lower_total_volume_delta_30m,0.10471849567148951
tf1h_upper_total_volume_change_ratio_15m,0.10331094889246062
tf4h_upper_total_volume_change_ratio_60m,0.10177829847055486
tf1h_lower_active_levels_change_ratio_15m,0.10014685193879751
tf1h_current_price_delta_5m,0.09303374260477137
price_return_30m,0.09242105548951499
tf1h_upper_active_levels_delta_5m,0.09015887902765116
tf4h_current_price_delta_30m,0.0896325702131325
tf1h_distance_advantage_change_ratio_15m,0.08713315757108324
tf4h_lower_active_levels_delta_30m,0.0866149596416755
tf1h_upper_pool_volume_delta_30m,0.08548170356758442
tf4h_pool_volume_ratio_change_ratio_30m,0.08098713567432296
tf1h_distance_advantage_change_ratio_30m,0.08048145466923888
tf24h_lower_pool_volume,0.07750549297888859
tf24h_upper_total_volume_change_ratio_60m,0.0771606009256848
tf24h_upper_pool_volume_delta_60m,0.07412131890016962
tf4h_upper_total_volume_delta_30m,0.07254279732205804
tf4h_lower_total_volume_change_ratio_30m,0.07157980837941802
tf24h_history_actual_minutes_60m,0.06751231111169481
tf1h_distance_advantage_change_ratio_60m,0.06517477304720458
tf4h_farther_pool_volume_delta_60m,0.06065155419025009
mtf_signed_distance_edge_range,0.05954165586586342
tf4h_pool_volume_ratio_delta_15m,0.058348642031457607
tf1h_upper_active_levels_delta_30m,0.0553195353396654
tf24h_upper_total_volume_change_ratio_30m,0.05506330445431966
tf24h_current_price_delta_30m,0.05234003156074477
tf1h_upper_total_volume_delta_60m,0.05191598717863247
tf24h_lower_total_volume_change_ratio_60m,0.05171787161330678
tf4h_lower_active_levels_delta_15m,0.049924802975784735
tf4h_upper_total_volume_change_ratio_30m,0.04931124038677359
tf1h_total_volume_imbalance_check_change_ratio_60m,0.048283449037276494
tf4h_pool_volume_ratio,0.04802981524996622
tf1h_upper_total_volume_delta_15m,0.04790595934191753
tf4h_lower_total_volume_delta_60m,0.047053155197041535
tf1h_lower_total_volume_change_ratio_30m,0.046025594094816435
tf24h_upper_total_volume_delta_60m,0.04581306346011714
tf1h_history_actual_minutes_30m,0.04534145356269636
mtf_pool_volume_ratio_4h_minus_24h,0.04444174605976012
tf24h_pool_volume_ratio_delta_60m,0.04287635798890536
tf1h_upper_pool_volume_delta_5m,0.040368192916999654
tf1h_signed_distance_edge_change_ratio_15m,0.039358504192662035
tf1h_history_actual_minutes_60m,0.039026728545444415
tf1h_upper_pool_volume_delta_15m,0.03822359998899565
tf4h_lower_active_levels_change_ratio_15m,0.0380441696262772
tf4h_distance_pressure_ratio,0.03792140681671216
tf24h_lower_total_volume_delta_30m,0.03583041232238868
tf4h_total_volume_imbalance_check_delta_30m,0.034713607732290555
tf4h_farther_pool_volume_change_ratio_60m,0.03371715133316865
mtf_signed_distance_edge_1h_minus_4h,0.03170942576581135
tf24h_lower_pool_volume_delta_60m,0.029719982055753155
mtf_pool_volume_ratio_1h_minus_4h,0.029635660939225417
tf1h_nearest_pool_volume_delta_30m,0.02943341787068488
tf1h_nearest_pool_volume_delta_15m,0.028535420694252703
tf4h_history_actual_minutes_60m,0.02824790115770656
tf1h_farther_pool_volume_change_ratio_30m,0.028143323311103637
tf1h_topology_imbalance_delta_60m,0.02707636642138225
tf24h_lower_active_levels_delta_30m,0.027018688553958555
tf1h_nearest_pool_volume,0.027013828170572407
tf24h_upper_distance_pct,0.026739265851749534
tf24h_lower_pool_volume_change_ratio_30m,0.026415086385602866
tf4h_upper_pool_volume_delta_30m,0.025749749736455198
tf4h_total_volume_imbalance_check_change_ratio_15m,0.02552272725547593
tf24h_farther_pool_volume_change_ratio_30m,0.02485206614170983
tf4h_upper_pool_volume,0.024816872161438238
tf24h_farther_pool_volume,0.024328607571690877
tf1h_lower_distance_pct_change_ratio_30m,0.023706920047359088
tf1h_history_actual_minutes_15m,0.023422094653702923
tf1h_signed_distance_edge_delta_15m,0.023400144351753176
tf24h_lower_distance_pct_delta_60m,0.023397517029135693
tf24h_distance_advantage,0.02292923514602186
tf4h_distance_advantage_delta_60m,0.022498487033796564
tf1h_upper_total_volume_change_ratio_60m,0.02188130913761467
tf4h_signed_distance_edge_delta_60m,0.0217139340101289
tf24h_snapshot_age_seconds,0.021560386142042757
tf4h_nearest_pool_volume_delta_30m,0.02155301361550682
tf1h_lower_total_volume_delta_5m,0.021464613589399394
tf1h_farther_pool_volume_change_ratio_15m,0.0197368961954794
tf1h_distance_pressure_ratio_change_ratio_15m,0.01963018151020254
tf24h_upper_distance_pct_delta_60m,0.01946527539401344
tf4h_history_actual_minutes_30m,0.018885871775193755
tf1h_lower_distance_pct_change_ratio_15m,0.018403267096562877
tf1h_lower_pool_volume_delta_60m,0.018349564167029656
tf24h_lower_pool_volume_change_ratio_60m,0.01786898044898113
tf4h_upper_pool_volume_delta_15m,0.017741710407731797
tf4h_topology_imbalance_change_ratio_30m,0.017705081512189007
tf4h_farther_pool_volume_change_ratio_30m,0.017541784381363567
tf4h_distance_advantage_change_ratio_60m,0.017357329683614888
tf1h_upper_total_volume_delta_5m,0.017012008502552602
tf1h_upper_total_volume_change_ratio_5m,0.015141761884298652
tf1h_lower_pool_volume,0.01508640636220914
tf1h_lower_distance_pct_change_ratio_5m,0.014984803389944174
tf24h_upper_distance_pct_change_ratio_30m,0.014641964079103304
tf4h_topology_imbalance_change_ratio_15m,0.014462128398168433
