feature,importance
tf1h_hour_sin,4.34394339441931
tf4h_hour_cos,3.8873637385809965
tf4h_active_level_total,3.447969509091114
tf24h_lower_total_volume,3.324551616622438
tf1h_hour_cos,2.998057167188886
tf1h_upper_total_volume,2.8188113364355725
tf24h_active_level_difference,2.8185369493388155
tf1h_dow_sin,2.6776850858203436
tf24h_upper_active_levels,2.5304017376471175
tf1h_current_price_change_ratio_15m,2.432192737481395
tf4h_dow_sin,2.2990647015453893
mtf_topology_imbalance_4h_minus_24h,1.9187323640058402
tf4h_upper_total_volume,1.9113873264157841
tf24h_hour_sin,1.8800892733906491
tf1h_current_price_change_ratio_60m,1.764930935551548
tf24h_dow_sin,1.6651213093789698
tf4h_hour_sin,1.6619093194555101
tf24h_lower_active_levels,1.6387261070307837
tf1h_lower_total_volume,1.6217712511533207
tf1h_is_weekend_utc,1.5759662434861867
tf1h_current_price_change_ratio_30m,1.5753139101863192
tf1h_current_price_change_ratio_5m,1.4245562426724188
tf24h_upper_total_volume,1.3687134550602258
tf24h_lower_distance_pct,1.344633737147396
tf24h_upper_distance_pct,1.2637384606718802
tf4h_dow_cos,1.018613768594242
tf1h_dow_cos,1.0049534397540771
tf4h_current_price_change_ratio_15m,1.0021501324147883
tf4h_current_price_change_ratio_60m,0.9293523818414964
tf4h_upper_active_levels_change_ratio_60m,0.7714753848130146
tf24h_lower_total_volume_change_ratio_30m,0.7628203108908848
tf24h_lower_active_levels_change_ratio_60m,0.7622448431224107
tf24h_upper_active_levels_change_ratio_60m,0.743366192321589
tf1h_lower_distance_pct,0.7408949728607744
tf4h_current_price_change_ratio_30m,0.7397938055920776
tf24h_distance_advantage,0.7228445202753176
tf1h_upper_distance_pct,0.6958954065738302
tf24h_dow_cos,0.6862036809118713
tf24h_hour_cos,0.6714327942994568
tf24h_current_price_change_ratio_60m,0.6182391662875952
tf4h_lower_total_volume_change_ratio_60m,0.61650052483927
tf1h_upper_total_volume_change_ratio_30m,0.6064869789707047
tf4h_lower_total_volume_delta_60m,0.6043495120643215
tf4h_upper_pool_volume,0.5971193461820543
tf1h_upper_pool_volume,0.5943978986624624
tf4h_lower_total_volume,0.5649699316656586
tf24h_upper_pool_volume,0.5265749825020447
tf24h_lower_total_volume_change_ratio_60m,0.5126855309135236
tf24h_lower_total_volume_delta_60m,0.48077519617727377
tf1h_topology_imbalance,0.4668833889463974
tf24h_lower_pool_volume_delta_60m,0.46535733385138284
tf1h_lower_total_volume_change_ratio_60m,0.4557618951698623
tf4h_upper_distance_pct,0.45089590204118063
tf24h_lower_pool_volume,0.44951802184089984
tf24h_upper_active_levels_change_ratio_30m,0.44209919662351077
tf4h_lower_active_levels,0.4356536600562817
tf4h_upper_total_volume_change_ratio_15m,0.42431494468357184
tf4h_lower_pool_volume,0.42228142116913125
tf4h_upper_active_levels_delta_60m,0.4206136608154708
tf24h_lower_active_levels_change_ratio_30m,0.40873135458401294
tf24h_topology_imbalance,0.40546056170321854
tf24h_upper_active_levels_delta_60m,0.40484446617344
tf1h_farther_pool_volume,0.36917772406036165
tf1h_current_price_delta_60m,0.3653661664937903
tf24h_upper_total_volume_change_ratio_30m,0.36177539125015135
tf4h_lower_active_levels_change_ratio_60m,0.35131141531385696
tf4h_upper_total_volume_delta_30m,0.346009424496457
tf24h_upper_total_volume_change_ratio_60m,0.34352400612799294
tf24h_upper_total_volume_delta_60m,0.3182969162971863
tf1h_upper_total_volume_change_ratio_15m,0.3135255562569177
tf1h_lower_total_volume_delta_60m,0.3056019582264092
tf24h_lower_total_volume_delta_30m,0.2960403527739151
tf24h_topology_imbalance_delta_30m,0.2907177314873816
tf24h_current_price_delta_60m,0.287514899549542
tf24h_current_price_change_ratio_30m,0.2867269346041419
tf24h_topology_imbalance_delta_60m,0.286088309828872
tf4h_upper_active_levels,0.2828034459222981
tf4h_upper_total_volume_change_ratio_30m,0.28112628393308436
tf4h_upper_total_volume_change_ratio_60m,0.2805604302487545
tf24h_lower_active_levels_delta_60m,0.27423211623355875
tf24h_upper_pool_volume_delta_60m,0.26436105021296363
tf4h_nearest_pool_volume,0.262098661908877
tf1h_current_price_delta_15m,0.2556505094051375
tf24h_signed_distance_edge,0.2546081781852961
price_return_5m,0.24805819688485078
tf4h_lower_active_levels_change_ratio_15m,0.24428197926543327
tf1h_upper_total_volume_delta_60m,0.23469637619897277
tf24h_upper_total_volume_delta_30m,0.23364427171188926
tf24h_farther_pool_volume,0.230317959180172
tf4h_topology_imbalance_delta_60m,0.2265946400145288
tf24h_active_level_total,0.22106180499556896
price_acceleration_5m_15m,0.2198193573438769
tf4h_topology_imbalance_delta_15m,0.21698895704015028
tf24h_topology_imbalance_change_ratio_30m,0.21315599353522685
tf4h_topology_imbalance,0.20893158168548098
tf24h_upper_active_levels_delta_30m,0.20622725874219186
tf24h_lower_pool_volume_delta_30m,0.20245466276471744
tf1h_upper_distance_pct_delta_60m,0.2020727758638216
tf1h_upper_total_volume_change_ratio_60m,0.19751640393530326
tf4h_lower_total_volume_delta_30m,0.19027525650685315
tf4h_upper_total_volume_delta_60m,0.18641217142476524
tf1h_upper_distance_pct_delta_15m,0.18259245873245522
tf1h_distance_advantage,0.18162671036510208
tf1h_nearest_pool_volume,0.17679747045913355
tf24h_nearest_pool_volume,0.17315246840762327
tf1h_topology_imbalance_delta_30m,0.16245575126245385
tf4h_active_level_difference,0.16101267723719645
tf24h_nearest_pool_volume_change_ratio_30m,0.15871106833643328
tf4h_lower_total_volume_delta_15m,0.1578896911819242
tf24h_upper_pool_volume_change_ratio_60m,0.1578004001596414
tf24h_lower_pool_volume_change_ratio_60m,0.15338761014529353
tf1h_active_level_total,0.1503725232482796
tf4h_farther_pool_volume,0.14991514544099657
mtf_topology_imbalance_1h_minus_4h,0.14949967998343375
tf24h_nearest_pool_volume_delta_30m,0.1451929492798289
tf1h_lower_distance_pct_delta_15m,0.1422133049922197
tf1h_upper_total_volume_delta_30m,0.13857532037809792
tf1h_distance_advantage_delta_15m,0.13437871616014796
mtf_topology_imbalance_range,0.1334712570704701
tf24h_lower_active_levels_delta_30m,0.13195266658947816
tf1h_upper_active_levels_change_ratio_15m,0.1288698979016531
tf1h_lower_total_volume_delta_30m,0.12829497667975856
tf24h_upper_pool_volume_change_ratio_30m,0.12749242470734576
tf1h_current_price_delta_5m,0.12286254867137132
tf24h_total_volume_imbalance_check,0.11978404458938227
tf4h_topology_imbalance_change_ratio_15m,0.1189160792738553
topology_price_divergence_15m,0.11836701324608219
tf4h_upper_total_volume_delta_15m,0.11600645261502683
tf1h_signed_distance_edge_delta_15m,0.11464493036523683
tf1h_signed_distance_edge_delta_60m,0.11298951997645627
tf1h_current_price_delta_30m,0.11276740448014046
price_return_15m,0.11126349491666086
tf24h_upper_distance_pct_delta_30m,0.10910046023407131
tf1h_upper_distance_pct_change_ratio_15m,0.1083597446202075
mtf_signed_distance_edge_range,0.10745802083318116
tf4h_signed_distance_edge_change_ratio_15m,0.10680069564249284
tf1h_total_volume_imbalance_check,0.1026777431485295
tf4h_upper_distance_pct_delta_60m,0.10112355738063211
tf1h_topology_imbalance_change_ratio_60m,0.09724033515058705
tf1h_lower_distance_pct_delta_60m,0.09704244554382414
tf1h_lower_total_volume_change_ratio_30m,0.09634381936704067
tf4h_lower_total_volume_change_ratio_30m,0.09527496304026775
tf24h_lower_pool_volume_change_ratio_30m,0.0951675744179781
tf4h_is_weekend_utc,0.09482038798463278
tf1h_topology_imbalance_delta_15m,0.09442750356786968
tf24h_farther_pool_volume_delta_60m,0.09266998444079891
tf4h_current_price_delta_30m,0.09003460498855813
tf1h_topology_imbalance_change_ratio_5m,0.08967929390310499
tf4h_upper_active_levels_change_ratio_30m,0.08393418315549324
tf24h_upper_pool_volume_delta_30m,0.08248264592809904
tf1h_topology_imbalance_change_ratio_30m,0.08193408238370928
tf1h_lower_total_volume_change_ratio_15m,0.07965756368680732
tf1h_lower_distance_pct_delta_30m,0.0757483453009312
tf4h_lower_active_levels_delta_60m,0.07450076013020702
tf4h_current_price_delta_60m,0.07229862557928093
tf1h_signed_distance_edge_delta_30m,0.07089943915189345
tf1h_lower_active_levels_change_ratio_15m,0.07005102517754183
tf1h_upper_active_levels_change_ratio_60m,0.06910288918913404
tf4h_distance_advantage,0.06871906017459414
tf24h_distance_advantage_delta_30m,0.06705373040706707
tf4h_current_price_delta_15m,0.06556990709955772
tf4h_distance_advantage_delta_60m,0.06313139757691066
tf4h_nearest_pool_volume_delta_15m,0.06255295448651292
tf4h_lower_pool_volume_change_ratio_30m,0.06252009427102433
tf4h_topology_imbalance_change_ratio_60m,0.062106045779988524
tf4h_lower_distance_pct_delta_60m,0.061516259495419376
tf1h_lower_total_volume_delta_15m,0.05966744342900916
tf4h_farther_pool_volume_change_ratio_60m,0.05923237235494053
tf4h_lower_distance_pct,0.05834352385163473
tf4h_topology_imbalance_delta_30m,0.05763398022260933
tf4h_lower_pool_volume_delta_30m,0.05725426642801965
tf4h_lower_active_levels_delta_30m,0.0572138597688807
tf4h_lower_pool_volume_delta_60m,0.0572123341646859
tf24h_farther_pool_volume_change_ratio_60m,0.05651363279156683
mtf_distance_pressure_ratio_1h_minus_4h,0.05643055268004658
tf4h_lower_total_volume_change_ratio_15m,0.05514565552650227
tf24h_topology_imbalance_change_ratio_60m,0.05461322691716754
tf4h_lower_active_levels_change_ratio_30m,0.05341489922066278
tf4h_lower_distance_pct_delta_15m,0.05327978156250183
tf1h_topology_imbalance_delta_5m,0.05291428248469439
tf24h_lower_distance_pct_delta_60m,0.0528191136172178
tf1h_nearest_pool_volume_delta_15m,0.052113224686523386
tf1h_signed_distance_edge,0.05122310831031315
tf24h_current_price_delta_30m,0.05087226548171528
tf1h_upper_pool_volume_change_ratio_15m,0.04897501848732984
tf1h_lower_active_levels,0.04878636430195057
tf24h_farther_pool_volume_delta_30m,0.04835988863254435
tf4h_upper_distance_pct_delta_15m,0.04768965980195168
tf1h_distance_advantage_delta_60m,0.04733978996334749
tf4h_upper_distance_pct_delta_30m,0.046041206940254
