feature,importance
matrix_1h_volume,14.955964275709064
matrix_4h_age_seconds,6.820866616085058
matrix_24h_age_seconds,5.917660316212047
matrix_1h_matrix_source_return_3bar,5.7924981017793575
matrix_1h_age_seconds,5.324332391166525
matrix_24h_volume,5.115812624991268
matrix_1h_matrix_source_return_1bar,4.085532639753305
matrix_4h_volume,3.846227728088806
matrix_24h_matrix_vwma_slope_5bar_pct,3.579944732554785
matrix_1h_matrix_channel_width_pct,3.5315372907068245
matrix_1h_trend_x_topology_imbalance,2.5708512885500614
matrix_4h_matrix_channel_width_pct,2.4998256787778033
matrix_4h_matrix_channel_width_change_1bar,1.774433831901935
matrix_1h_matrix_source_return_5bar,1.6712162095418235
matrix_4h_trend_x_topology_imbalance,1.6508621064860594
matrix_1h_matrix_vwma_slope_1bar_pct,1.4488184523128502
matrix_4h_matrix_vwma_slope_3bar_pct,1.3986757820371865
matrix_4h_matrix_volume_ratio_20,1.335445171263293
matrix_4h_matrix_channel_width_change_5bar,1.3116327094179399
matrix_4h_matrix_channel_width_change_3bar,1.2698116578185505
matrix_24h_matrix_source_return_5bar,1.2480540848489594
matrix_4h_matrix_trend_age_bars,1.234785299226935
matrix_24h_matrix_trend_age_bars,1.2090215208609665
matrix_4h_matrix_source_return_3bar,1.164857118279921
matrix_1h_matrix_channel_width_change_5bar,1.1378120703019408
matrix_4h_matrix_source_return_1bar,1.1248313548458593
matrix_1h_matrix_distance_to_upper_pct,1.0309560459676292
matrix_1h_matrix_distance_to_vwma_pct,1.0083839358007676
matrix_24h_matrix_volume_ratio_20,0.9133179443539052
matrix_1h_matrix_distance_to_lower_pct,0.8541809698999963
matrix_1h_matrix_volume_ratio_20,0.8250971671998479
matrix_4h_matrix_source_return_5bar,0.754501220254008
matrix_24h_matrix_channel_width_change_1bar,0.7453923566962752
matrix_1h_close_time,0.7195324186697174
matrix_24h_matrix_vwma_slope_3bar_pct,0.718506719104838
matrix_24h_matrix_source_return_1bar,0.7070483272413772
matrix_4h_matrix_bars_since_flip,0.6688375110503361
matrix_4h_matrix_distance_to_lower_pct,0.6500633582448283
matrix_4h_matrix_vwma_slope_5bar_pct,0.5795940431248947
matrix_1h_open_time,0.567935074261669
matrix_1h_matrix_channel_width_change_1bar,0.5176771991398426
matrix_1h_matrix_vwma_slope_5bar_pct,0.481377590995075
matrix_24h_matrix_vwma_slope_1bar_pct,0.4782035378894069
matrix_4h_matrix_vwma_slope_1bar_pct,0.45320430072814044
matrix_4h_matrix_distance_to_upper_pct,0.4438521127652367
matrix_1h_matrix_channel_width_change_3bar,0.4403565044004089
matrix_4h_matrix_distance_to_vwma_pct,0.35683247912958405
matrix_mtf_full_bearish,0.3550713457524444
matrix_1h_matrix_bars_since_flip,0.340371392961174
matrix_24h_matrix_distance_to_lower_pct,0.25028105725179184
matrix_24h_close_time,0.23863493693967097
matrix_1h_matrix_vwma_slope_3bar_pct,0.23748732975498463
matrix_4h_matrix_trend,0.2210561868423784
matrix_24h_trend_x_topology_imbalance,0.2182190007014744
matrix_24h_matrix_bars_since_flip,0.18873768917996514
matrix_24h_matrix_distance_to_upper_pct,0.1782963853711463
matrix_24h_matrix_source_return_3bar,0.16196076531402046
matrix_mtf_agreement_strength,0.14495952339661497
matrix_24h_matrix_channel_width_pct,0.14273435744253507
matrix_mtf_trend_sum,0.13075927657760875
matrix_1h_matrix_trend_age_bars,0.1283822921373754
matrix_4h_matrix_inside_channel,0.12688658993994495
matrix_1h_matrix_below_lower,0.0
matrix_1h_matrix_short_flip,0.0
matrix_24h_matrix_above_upper,0.0
matrix_1h_matrix_trend,0.0
matrix_1h_matrix_timeframe,0.0
matrix_1h_matrix_above_upper,0.0
matrix_1h_matrix_flip,0.0
matrix_1h_matrix_inside_channel,0.0
matrix_1h_matrix_long_flip,0.0
matrix_24h_matrix_trend,0.0
matrix_24h_matrix_channel_width_change_5bar,0.0
matrix_24h_matrix_channel_width_change_3bar,0.0
matrix_24h_matrix_below_lower,0.0
matrix_24h_matrix_distance_to_vwma_pct,0.0
matrix_24h_matrix_long_flip,0.0
matrix_24h_matrix_inside_channel,0.0
matrix_24h_matrix_flip,0.0
matrix_24h_matrix_short_flip,0.0
matrix_4h_matrix_below_lower,0.0
matrix_4h_matrix_above_upper,0.0
matrix_4h_close_time,0.0
matrix_24h_open_time,0.0
matrix_24h_matrix_timeframe,0.0
matrix_4h_matrix_long_flip,0.0
matrix_4h_matrix_short_flip,0.0
matrix_4h_matrix_flip,0.0
matrix_4h_matrix_timeframe,0.0
matrix_4h_open_time,0.0
matrix_mtf_full_bullish,0.0
matrix_mtf_direction,0.0
matrix_mtf_mixed,0.0
matrix_mtf_valid_count,0.0
matrix_topology_direction_agreement,0.0
matrix_topology_direction_product,0.0
