feature,importance
matrix_1h_volume,9.930802059405934
matrix_4h_age_seconds,8.600215933975392
matrix_1h_age_seconds,8.169985875766768
matrix_24h_age_seconds,6.747100539947462
matrix_1h_matrix_source_return_1bar,5.044157819122405
matrix_1h_matrix_channel_width_pct,3.908300358128652
matrix_1h_matrix_source_return_3bar,3.6122330138113443
matrix_4h_volume,3.60157899336461
matrix_24h_volume,2.8836929240354965
matrix_1h_matrix_source_return_5bar,2.8743519971860243
matrix_1h_matrix_volume_ratio_20,2.5707976837411253
matrix_24h_matrix_vwma_slope_5bar_pct,2.2711569575560566
matrix_1h_matrix_channel_width_change_1bar,2.260302136187928
matrix_1h_trend_x_topology_imbalance,2.2512562575491337
matrix_4h_trend_x_topology_imbalance,1.9941163615437956
matrix_1h_matrix_channel_width_change_3bar,1.8275317999785328
matrix_4h_matrix_vwma_slope_3bar_pct,1.6522146947960492
matrix_1h_matrix_distance_to_upper_pct,1.561252541418652
matrix_4h_matrix_channel_width_change_3bar,1.3135597016257996
matrix_4h_matrix_source_return_3bar,1.2910291402403813
matrix_4h_matrix_channel_width_change_5bar,1.2663682872572506
matrix_4h_matrix_channel_width_change_1bar,1.2259805686534253
matrix_4h_matrix_volume_ratio_20,1.1991868579738028
matrix_1h_matrix_channel_width_change_5bar,1.1460033480356755
matrix_4h_matrix_vwma_slope_1bar_pct,1.1412722149570955
matrix_4h_matrix_source_return_1bar,1.063570799569776
matrix_1h_matrix_distance_to_lower_pct,0.9986368917722452
matrix_4h_matrix_channel_width_pct,0.9161789262045159
matrix_24h_matrix_distance_to_vwma_pct,0.883732182274182
matrix_4h_matrix_source_return_5bar,0.8775646132223499
matrix_24h_matrix_source_return_3bar,0.8592555127330326
matrix_1h_matrix_trend_age_bars,0.8558160717390028
matrix_24h_matrix_trend_age_bars,0.8471386846415361
matrix_4h_matrix_distance_to_vwma_pct,0.8170637198873169
matrix_24h_matrix_vwma_slope_3bar_pct,0.7687381928112241
matrix_1h_matrix_vwma_slope_1bar_pct,0.7545098878316511
matrix_1h_matrix_vwma_slope_3bar_pct,0.7503943456500477
matrix_1h_matrix_distance_to_vwma_pct,0.7488412044098597
matrix_24h_matrix_volume_ratio_20,0.7147844685775173
matrix_24h_matrix_source_return_1bar,0.6986140533075206
matrix_4h_matrix_trend_age_bars,0.6733013839185595
matrix_1h_matrix_bars_since_flip,0.6697901888563507
matrix_24h_matrix_vwma_slope_1bar_pct,0.6551090320039425
matrix_4h_matrix_bars_since_flip,0.652896149694346
matrix_4h_matrix_distance_to_lower_pct,0.5837269914745424
matrix_4h_matrix_distance_to_upper_pct,0.5400913863477228
matrix_24h_close_time,0.4710056502712194
matrix_24h_matrix_distance_to_lower_pct,0.429891886661049
matrix_4h_matrix_vwma_slope_5bar_pct,0.388323278419327
matrix_24h_matrix_channel_width_change_1bar,0.3760322949508134
matrix_1h_matrix_inside_channel,0.2560924256487458
matrix_24h_matrix_channel_width_pct,0.251942465661174
matrix_1h_matrix_trend,0.2243239940359961
matrix_24h_matrix_source_return_5bar,0.21805481775184857
matrix_1h_close_time,0.1476096144017549
matrix_1h_matrix_vwma_slope_5bar_pct,0.13138200646216336
matrix_mtf_agreement_strength,0.12332689675979838
matrix_4h_close_time,0.12255859499023536
matrix_24h_matrix_bars_since_flip,0.10035438078128514
matrix_24h_open_time,0.06691330006123217
matrix_24h_matrix_short_flip,0.017985639957309892
matrix_1h_matrix_flip,0.0
matrix_1h_matrix_long_flip,0.0
matrix_1h_matrix_short_flip,0.0
matrix_24h_matrix_above_upper,0.0
matrix_1h_open_time,0.0
matrix_1h_matrix_timeframe,0.0
matrix_1h_matrix_above_upper,0.0
matrix_1h_matrix_below_lower,0.0
matrix_4h_matrix_above_upper,0.0
matrix_24h_trend_x_topology_imbalance,0.0
matrix_24h_matrix_trend,0.0
matrix_24h_matrix_distance_to_upper_pct,0.0
matrix_24h_matrix_channel_width_change_5bar,0.0
matrix_24h_matrix_below_lower,0.0
matrix_24h_matrix_channel_width_change_3bar,0.0
matrix_24h_matrix_timeframe,0.0
matrix_24h_matrix_long_flip,0.0
matrix_24h_matrix_flip,0.0
matrix_24h_matrix_inside_channel,0.0
matrix_4h_matrix_below_lower,0.0
matrix_4h_matrix_timeframe,0.0
matrix_4h_matrix_trend,0.0
matrix_4h_matrix_long_flip,0.0
matrix_4h_matrix_flip,0.0
matrix_4h_matrix_inside_channel,0.0
matrix_4h_matrix_short_flip,0.0
matrix_4h_open_time,0.0
matrix_mtf_direction,0.0
matrix_mtf_full_bearish,0.0
matrix_mtf_full_bullish,0.0
matrix_mtf_mixed,0.0
matrix_mtf_trend_sum,0.0
matrix_mtf_valid_count,0.0
matrix_topology_direction_agreement,0.0
matrix_topology_direction_product,0.0
