feature,importance
matrix_1h_volume,17.901544463117872
matrix_4h_age_seconds,6.530124753580727
matrix_1h_matrix_source_return_1bar,6.290413180323513
matrix_1h_age_seconds,5.793762132139654
matrix_24h_volume,4.35178936343472
matrix_24h_matrix_trend_age_bars,4.066806051545363
matrix_24h_age_seconds,3.94839864554237
matrix_4h_volume,3.500620628254706
matrix_4h_trend_x_topology_imbalance,3.3967980943881364
matrix_4h_matrix_channel_width_pct,3.3371807817790207
matrix_4h_matrix_distance_to_upper_pct,2.3447613267854206
matrix_1h_matrix_source_return_5bar,2.341828587944273
matrix_1h_matrix_source_return_3bar,2.211937157415621
matrix_4h_matrix_volume_ratio_20,2.1401348872838573
matrix_1h_matrix_channel_width_pct,2.069204482449551
matrix_1h_matrix_channel_width_change_1bar,1.953928942327385
matrix_1h_matrix_channel_width_change_5bar,1.8140730181210296
matrix_24h_matrix_vwma_slope_3bar_pct,1.7865638604954033
matrix_4h_matrix_bars_since_flip,1.7192685069042817
matrix_4h_matrix_channel_width_change_3bar,1.5869464149866823
matrix_4h_matrix_channel_width_change_5bar,1.5398335306417703
matrix_4h_matrix_distance_to_lower_pct,1.4060661387222368
matrix_24h_matrix_source_return_5bar,1.4046650050051692
matrix_1h_matrix_channel_width_change_3bar,1.3478396080871224
matrix_4h_matrix_vwma_slope_5bar_pct,1.2876970888007786
matrix_1h_matrix_volume_ratio_20,1.2549218160956264
matrix_1h_matrix_vwma_slope_5bar_pct,1.186787037237463
matrix_1h_matrix_trend_age_bars,1.166123564237472
matrix_mtf_trend_sum,1.1608210321304804
matrix_24h_trend_x_topology_imbalance,1.0417857847558243
matrix_4h_matrix_channel_width_change_1bar,0.9793530608620118
matrix_1h_matrix_distance_to_lower_pct,0.9371475923196516
matrix_4h_matrix_distance_to_vwma_pct,0.8445100339399974
matrix_1h_close_time,0.7932962857806864
matrix_1h_matrix_distance_to_upper_pct,0.7512368789616574
matrix_4h_matrix_source_return_3bar,0.7070780783246803
matrix_4h_matrix_source_return_5bar,0.5620476048382533
matrix_1h_matrix_vwma_slope_1bar_pct,0.41038741179959154
matrix_4h_matrix_source_return_1bar,0.36620220560577443
matrix_4h_matrix_inside_channel,0.3451174590730747
matrix_4h_matrix_trend_age_bars,0.3427049925647289
matrix_1h_trend_x_topology_imbalance,0.3191803279444609
matrix_1h_matrix_vwma_slope_3bar_pct,0.2771777710903099
matrix_4h_open_time,0.25722062289528896
matrix_24h_matrix_source_return_3bar,0.2247137894663198
matrix_1h_matrix_flip,0.0
matrix_1h_matrix_above_upper,0.0
matrix_1h_matrix_distance_to_vwma_pct,0.0
matrix_24h_matrix_above_upper,0.0
matrix_24h_close_time,0.0
matrix_1h_open_time,0.0
matrix_1h_matrix_trend,0.0
matrix_1h_matrix_timeframe,0.0
matrix_1h_matrix_inside_channel,0.0
matrix_1h_matrix_long_flip,0.0
matrix_1h_matrix_short_flip,0.0
matrix_1h_matrix_below_lower,0.0
matrix_1h_matrix_bars_since_flip,0.0
matrix_24h_matrix_bars_since_flip,0.0
matrix_24h_matrix_distance_to_upper_pct,0.0
matrix_24h_matrix_channel_width_change_5bar,0.0
matrix_24h_matrix_channel_width_pct,0.0
matrix_24h_matrix_channel_width_change_1bar,0.0
matrix_24h_matrix_below_lower,0.0
matrix_4h_matrix_below_lower,0.0
matrix_4h_matrix_above_upper,0.0
matrix_4h_close_time,0.0
matrix_24h_matrix_timeframe,0.0
matrix_24h_matrix_volume_ratio_20,0.0
matrix_24h_matrix_vwma_slope_1bar_pct,0.0
matrix_24h_matrix_vwma_slope_5bar_pct,0.0
matrix_24h_open_time,0.0
matrix_24h_matrix_trend,0.0
matrix_24h_matrix_distance_to_lower_pct,0.0
matrix_24h_matrix_distance_to_vwma_pct,0.0
matrix_24h_matrix_flip,0.0
matrix_24h_matrix_long_flip,0.0
matrix_24h_matrix_inside_channel,0.0
matrix_24h_matrix_source_return_1bar,0.0
matrix_24h_matrix_short_flip,0.0
matrix_24h_matrix_channel_width_change_3bar,0.0
matrix_4h_matrix_trend,0.0
matrix_4h_matrix_short_flip,0.0
matrix_4h_matrix_long_flip,0.0
matrix_4h_matrix_flip,0.0
matrix_4h_matrix_timeframe,0.0
matrix_4h_matrix_vwma_slope_3bar_pct,0.0
matrix_4h_matrix_vwma_slope_1bar_pct,0.0
matrix_mtf_agreement_strength,0.0
matrix_mtf_direction,0.0
matrix_mtf_full_bullish,0.0
matrix_mtf_full_bearish,0.0
matrix_mtf_mixed,0.0
matrix_mtf_valid_count,0.0
matrix_topology_direction_agreement,0.0
matrix_topology_direction_product,0.0
