feature,importance
matrix_4h_age_seconds,6.435990050322268
tf1h_active_level_total,6.095752218615958
tf4h_upper_active_levels,4.845846299183294
matrix_1h_matrix_source_return_3bar,3.6561553340487243
matrix_1h_matrix_channel_width_pct,3.5367939054854234
matrix_1h_volume,3.4354829047573086
matrix_1h_matrix_source_return_1bar,3.3375157427506195
tf1h_dow_sin,3.215950958955603
matrix_24h_age_seconds,3.161861808266549
matrix_1h_age_seconds,2.4057879359362127
tf24h_active_level_total,2.1957971693074523
price_return_15m,2.0670058170019328
matrix_1h_matrix_channel_width_change_1bar,2.0351082105844744
matrix_4h_matrix_source_return_3bar,1.9005869480580753
matrix_4h_matrix_distance_to_upper_pct,1.6276636208438915
matrix_4h_volume,1.6050377845217976
tf1h_current_price_delta_15m,1.5416867227306523
matrix_4h_matrix_source_return_5bar,1.5058192030817714
tf1h_upper_total_volume,1.4480904795023
matrix_1h_matrix_source_return_5bar,1.2884948350378724
tf1h_hour_sin,1.2868391021954104
matrix_24h_matrix_source_return_1bar,1.2576488297855608
tf1h_current_price_delta_30m,1.2095004598611345
matrix_1h_matrix_channel_width_change_3bar,1.2046285498575924
price_return_30m,1.1834710657317122
tf4h_active_level_difference,1.169568069201712
tf24h_hour_cos,1.1308607139354518
matrix_24h_matrix_vwma_slope_5bar_pct,1.1087815393666793
matrix_24h_volume,1.0678691290121545
tf4h_active_level_total,1.040817567913743
tf24h_dow_sin,0.9837478081730952
matrix_1h_matrix_volume_ratio_20,0.9732826708240375
matrix_1h_matrix_vwma_slope_5bar_pct,0.9727599752538214
matrix_1h_matrix_trend_age_bars,0.9588041989131679
matrix_4h_matrix_volume_ratio_20,0.9569994923072987
tf24h_lower_active_levels,0.9383326600835031
tf1h_lower_total_volume,0.9296592617960657
matrix_24h_matrix_vwma_slope_1bar_pct,0.9218440746556158
matrix_1h_matrix_bars_since_flip,0.9141190073659311
matrix_4h_matrix_distance_to_vwma_pct,0.9093468611242864
matrix_4h_close_time,0.9066199915058052
matrix_4h_matrix_channel_width_change_5bar,0.8772466713909362
matrix_4h_matrix_channel_width_change_1bar,0.869184007203141
tf1h_active_level_difference,0.8546821710975437
matrix_1h_matrix_channel_width_change_5bar,0.7894373068157859
matrix_1h_matrix_distance_to_lower_pct,0.7679745716647125
matrix_1h_matrix_distance_to_vwma_pct,0.7636465262242823
matrix_24h_matrix_source_return_3bar,0.7537430555163718
matrix_4h_matrix_distance_to_lower_pct,0.7354347432963845
matrix_4h_matrix_source_return_1bar,0.6760449470232623
matrix_1h_matrix_vwma_slope_3bar_pct,0.6620450306813473
matrix_4h_matrix_channel_width_change_3bar,0.6463539073141082
matrix_4h_matrix_channel_width_pct,0.615976615790451
matrix_4h_matrix_trend_age_bars,0.6077122492947219
matrix_1h_matrix_vwma_slope_1bar_pct,0.602386914823723
tf4h_hour_sin,0.5326273022071594
tf24h_active_level_difference,0.49369775963381324
tf1h_is_weekend_utc,0.4798655000912971
matrix_1h_matrix_distance_to_upper_pct,0.47966722724261385
matrix_4h_matrix_vwma_slope_3bar_pct,0.47248425867109173
tf24h_lower_total_volume,0.4543513826930331
matrix_24h_matrix_volume_ratio_20,0.44448426202365643
matrix_24h_matrix_vwma_slope_3bar_pct,0.43287888414431835
matrix_24h_close_time,0.3986999977097831
matrix_1h_close_time,0.3969749181415245
matrix_24h_matrix_trend_age_bars,0.3944687875005872
tf1h_lower_active_levels,0.3916206009431343
matrix_4h_matrix_vwma_slope_1bar_pct,0.35919831874303815
price_return_5m,0.3539665794744906
tf24h_hour_sin,0.34928808434313974
tf4h_dow_sin,0.307177541897663
matrix_24h_matrix_distance_to_vwma_pct,0.2904475725389071
tf1h_current_price_change_ratio_15m,0.2453882060386351
tf24h_is_weekend_utc,0.2120342069020561
tf24h_upper_active_levels_change_ratio_60m,0.21044135862341012
tf1h_upper_active_levels,0.2071774859004738
tf1h_current_price_delta_5m,0.1914536338183016
matrix_4h_matrix_vwma_slope_5bar_pct,0.17051032147961095
matrix_24h_matrix_source_return_5bar,0.1633390169767593
tf24h_lower_active_levels_change_ratio_60m,0.15885805058348737
tf4h_lower_active_levels,0.1497724020559573
tf24h_upper_active_levels,0.1472781275479333
tf24h_lower_active_levels_delta_60m,0.1419959241281674
tf1h_dow_cos,0.1392995660210743
tf1h_current_price_change_ratio_30m,0.13368588558453706
tf1h_lower_active_levels_change_ratio_30m,0.1249103507684836
matrix_4h_matrix_bars_since_flip,0.1180192769040129
tf1h_upper_active_levels_change_ratio_30m,0.11397644893354632
tf4h_lower_total_volume,0.10252555052032739
tf24h_current_price_delta_60m,0.09779133742218227
tf24h_upper_active_levels_change_ratio_30m,0.08942776517330314
tf24h_upper_total_volume,0.08579519259785937
tf4h_current_price_change_ratio_15m,0.08330994202481122
tf1h_lower_active_levels_delta_30m,0.06936016687906058
price_acceleration_5m_15m,0.060314757785855565
tf24h_upper_pool_volume_delta_60m,0.05471490114241078
tf4h_current_price_delta_15m,0.05452939928912149
tf4h_lower_active_levels_delta_60m,0.05239405090662904
tf24h_upper_active_levels_delta_30m,0.0
tf24h_upper_distance_pct,0.0
tf24h_total_volume_imbalance_check_delta_60m,0.0
tf24h_total_volume_imbalance_check_delta_30m,0.0
tf24h_total_volume_imbalance_check_change_ratio_60m,0.0
tf24h_total_volume_imbalance_check_change_ratio_30m,0.0
tf24h_total_volume_imbalance_check,0.0
tf24h_topology_imbalance_delta_30m,0.0
tf24h_upper_active_levels_delta_60m,0.0
tf4h_distance_pressure_ratio_change_ratio_15m,0.0
tf4h_distance_pressure_ratio,0.0
tf4h_distance_advantage_delta_60m,0.0
tf4h_distance_advantage_delta_30m,0.0
tf4h_distance_advantage_delta_15m,0.0
tf4h_distance_advantage_change_ratio_60m,0.0
tf4h_distance_advantage_change_ratio_30m,0.0
tf4h_distance_advantage_change_ratio_15m,0.0
tf4h_distance_advantage,0.0
tf4h_current_price_delta_60m,0.0
tf4h_current_price_delta_30m,0.0
tf4h_current_price_change_ratio_60m,0.0
tf24h_topology_imbalance_delta_60m,0.0
tf24h_upper_total_volume_delta_60m,0.0
tf24h_upper_total_volume_delta_30m,0.0
tf24h_upper_total_volume_change_ratio_60m,0.0
tf24h_upper_total_volume_change_ratio_30m,0.0
tf24h_upper_pool_volume_delta_30m,0.0
tf24h_upper_pool_volume_change_ratio_60m,0.0
tf24h_upper_pool_volume_change_ratio_30m,0.0
tf24h_upper_pool_volume,0.0
tf24h_upper_distance_pct_delta_60m,0.0
tf24h_upper_distance_pct_delta_30m,0.0
tf24h_upper_distance_pct_change_ratio_60m,0.0
tf24h_upper_distance_pct_change_ratio_30m,0.0
tf4h_current_price_change_ratio_30m,0.0
tf24h_lower_pool_volume_delta_30m,0.0
tf24h_lower_pool_volume_change_ratio_60m,0.0
tf24h_lower_pool_volume_change_ratio_30m,0.0
tf24h_lower_pool_volume,0.0
tf24h_lower_distance_pct_delta_60m,0.0
tf24h_lower_distance_pct_delta_30m,0.0
tf24h_lower_distance_pct_change_ratio_60m,0.0
tf24h_lower_distance_pct_change_ratio_30m,0.0
tf24h_lower_distance_pct,0.0
tf24h_lower_active_levels_delta_30m,0.0
tf24h_lower_active_levels_change_ratio_30m,0.0
tf24h_history_valid_60m,0.0
tf24h_history_valid_30m,0.0
tf24h_nearest_pool_volume,0.0
tf24h_history_actual_minutes_30m,0.0
tf24h_has_upper_level,0.0
tf24h_has_topology,0.0
tf24h_has_lower_level,0.0
tf24h_farther_pool_volume_delta_60m,0.0
tf24h_farther_pool_volume_delta_30m,0.0
tf24h_farther_pool_volume_change_ratio_60m,0.0
tf24h_farther_pool_volume_change_ratio_30m,0.0
tf24h_farther_pool_volume,0.0
tf24h_dow_cos,0.0
tf24h_distance_pressure_ratio_delta_60m,0.0
tf24h_distance_pressure_ratio_delta_30m,0.0
tf24h_distance_pressure_ratio_change_ratio_30m,0.0
tf24h_history_actual_minutes_60m,0.0
tf24h_topology_imbalance_change_ratio_60m,0.0
tf24h_topology_imbalance_change_ratio_30m,0.0
tf24h_topology_imbalance,0.0
tf24h_timeframe,0.0
tf24h_snapshot_age_seconds,0.0
tf24h_signed_distance_edge_delta_60m,0.0
tf24h_signed_distance_edge_delta_30m,0.0
tf24h_signed_distance_edge_change_ratio_60m,0.0
tf24h_signed_distance_edge_change_ratio_30m,0.0
tf24h_signed_distance_edge,0.0
tf24h_pool_volume_ratio_delta_60m,0.0
tf24h_pool_volume_ratio_delta_30m,0.0
tf24h_pool_volume_ratio_change_ratio_60m,0.0
tf24h_lower_pool_volume_delta_60m,0.0
tf24h_pool_volume_ratio,0.0
tf24h_nearest_side_stable_60m,0.0
tf24h_nearest_side_stable_30m,0.0
tf24h_nearest_side_code,0.0
tf24h_nearest_side,0.0
tf24h_nearest_pool_volume_delta_60m,0.0
tf24h_nearest_pool_volume_delta_30m,0.0
tf24h_nearest_pool_volume_change_ratio_60m,0.0
tf24h_nearest_pool_volume_change_ratio_30m,0.0
tf4h_distance_pressure_ratio_change_ratio_30m,0.0
tf24h_lower_total_volume_delta_60m,0.0
tf24h_lower_total_volume_delta_30m,0.0
tf24h_lower_total_volume_change_ratio_60m,0.0
tf24h_lower_total_volume_change_ratio_30m,0.0
tf24h_pool_volume_ratio_change_ratio_30m,0.0
matrix_1h_matrix_flip,0.0
tf4h_total_volume_imbalance_check_change_ratio_30m,0.0
tf4h_total_volume_imbalance_check_change_ratio_15m,0.0
tf4h_total_volume_imbalance_check,0.0
tf4h_topology_imbalance_delta_60m,0.0
tf4h_topology_imbalance_delta_30m,0.0
tf4h_topology_imbalance_delta_15m,0.0
tf4h_topology_imbalance_change_ratio_60m,0.0
tf4h_topology_imbalance_change_ratio_30m,0.0
tf4h_topology_imbalance_change_ratio_15m,0.0
tf4h_topology_imbalance,0.0
tf4h_timeframe,0.0
tf4h_snapshot_age_seconds,0.0
tf24h_distance_pressure_ratio_change_ratio_60m,0.0
tf4h_signed_distance_edge_delta_30m,0.0
tf4h_signed_distance_edge_delta_15m,0.0
tf4h_signed_distance_edge_change_ratio_60m,0.0
tf4h_signed_distance_edge_change_ratio_30m,0.0
tf4h_signed_distance_edge_change_ratio_15m,0.0
tf4h_signed_distance_edge,0.0
tf4h_pool_volume_ratio_delta_60m,0.0
tf4h_pool_volume_ratio_delta_30m,0.0
tf4h_pool_volume_ratio_delta_15m,0.0
tf4h_pool_volume_ratio_change_ratio_60m,0.0
tf4h_pool_volume_ratio_change_ratio_15m,0.0
tf4h_pool_volume_ratio,0.0
tf4h_nearest_side_stable_60m,0.0
tf4h_nearest_side_stable_30m,0.0
tf4h_signed_distance_edge_delta_60m,0.0
tf4h_upper_total_volume_delta_60m,0.0
tf4h_upper_total_volume_delta_30m,0.0
tf4h_upper_total_volume_delta_15m,0.0
tf4h_upper_total_volume_change_ratio_60m,0.0
tf4h_upper_total_volume_change_ratio_30m,0.0
tf4h_upper_total_volume_change_ratio_15m,0.0
tf4h_upper_total_volume,0.0
tf4h_upper_pool_volume_delta_60m,0.0
tf4h_upper_pool_volume_delta_30m,0.0
tf4h_upper_pool_volume_delta_15m,0.0
tf4h_upper_pool_volume_change_ratio_60m,0.0
tf4h_upper_pool_volume_change_ratio_30m,0.0
tf4h_upper_pool_volume_change_ratio_15m,0.0
tf4h_total_volume_imbalance_check_delta_15m,0.0
tf4h_upper_distance_pct_delta_60m,0.0
tf4h_upper_distance_pct_delta_30m,0.0
tf4h_upper_distance_pct_delta_15m,0.0
tf4h_upper_distance_pct_change_ratio_60m,0.0
tf4h_upper_distance_pct_change_ratio_30m,0.0
tf4h_upper_distance_pct_change_ratio_15m,0.0
tf4h_upper_distance_pct,0.0
tf4h_upper_active_levels_delta_60m,0.0
tf4h_upper_active_levels_delta_30m,0.0
tf4h_upper_active_levels_change_ratio_60m,0.0
tf4h_upper_active_levels_change_ratio_30m,0.0
tf4h_upper_active_levels_change_ratio_15m,0.0
