feature,importance
matrix_1h_volume,12.967244379717668
matrix_1h_matrix_source_return_1bar,5.980534859467544
matrix_4h_age_seconds,4.900728597630063
tf1h_dow_sin,4.4015330327773015
price_return_15m,3.374413947692362
tf4h_dow_sin,3.238899382063589
tf24h_lower_total_volume,2.9106695191914325
matrix_24h_matrix_trend_age_bars,2.7580143807136737
matrix_4h_matrix_channel_width_pct,2.743419461428554
matrix_1h_age_seconds,2.4565818578843834
tf4h_current_price_change_ratio_15m,1.8986850960263355
tf4h_active_level_total,1.8821179524095057
matrix_24h_age_seconds,1.8641492699169429
matrix_1h_matrix_channel_width_pct,1.8562038234484517
tf24h_upper_active_levels,1.8066536548985
price_return_30m,1.7900137726980079
matrix_1h_matrix_source_return_3bar,1.703885950878042
matrix_1h_matrix_channel_width_change_5bar,1.6015378380426641
matrix_1h_matrix_channel_width_change_3bar,1.5556061457594184
tf4h_upper_total_volume,1.4836354784714385
matrix_4h_matrix_source_return_1bar,1.4738127014475342
matrix_4h_matrix_vwma_slope_5bar_pct,1.4434579983222116
matrix_4h_matrix_distance_to_lower_pct,1.4050838127118621
matrix_1h_matrix_source_return_5bar,1.3546714557064778
matrix_4h_matrix_volume_ratio_20,1.296757210028638
matrix_4h_matrix_distance_to_upper_pct,1.2754535766635888
matrix_1h_matrix_bars_since_flip,1.2346723600454734
matrix_1h_matrix_channel_width_change_1bar,1.2328701136632072
tf1h_current_price_delta_15m,1.1511904348867164
matrix_24h_volume,1.108789960670635
matrix_4h_volume,1.1000005626473222
matrix_24h_matrix_source_return_3bar,1.0513107878911627
price_return_5m,0.9905827454875799
tf1h_hour_cos,0.9517550203816824
tf1h_is_weekend_utc,0.9065463309677744
matrix_4h_matrix_channel_width_change_5bar,0.8934338776897088
matrix_4h_matrix_distance_to_vwma_pct,0.8161276374632432
matrix_1h_matrix_vwma_slope_1bar_pct,0.7961158494684077
matrix_mtf_trend_sum,0.7228156747418485
matrix_1h_matrix_trend_age_bars,0.659900497226013
tf24h_dow_sin,0.6479375571663478
matrix_4h_matrix_vwma_slope_3bar_pct,0.6342616456244534
matrix_4h_matrix_trend_age_bars,0.6205465088314589
matrix_1h_matrix_distance_to_vwma_pct,0.5301314549588446
tf24h_upper_total_volume,0.5249364592164831
matrix_1h_matrix_volume_ratio_20,0.5075833569025928
matrix_24h_matrix_vwma_slope_3bar_pct,0.5069499938931642
tf24h_lower_active_levels,0.5015551964859307
matrix_24h_matrix_volume_ratio_20,0.4941764508613508
matrix_4h_matrix_vwma_slope_1bar_pct,0.48402526095456544
matrix_4h_matrix_source_return_3bar,0.4838976245550501
matrix_1h_matrix_distance_to_lower_pct,0.48051254850122394
matrix_24h_matrix_source_return_5bar,0.4741151717381435
matrix_24h_matrix_source_return_1bar,0.464392922773534
tf24h_topology_imbalance,0.44975533465936246
tf1h_current_price_change_ratio_15m,0.44068971067481155
matrix_1h_matrix_vwma_slope_5bar_pct,0.4348120367331191
tf1h_current_price_delta_30m,0.42418322512341566
tf4h_upper_total_volume_change_ratio_60m,0.416326109660964
tf24h_active_level_difference,0.39277460508000456
matrix_24h_matrix_vwma_slope_1bar_pct,0.314257024973206
matrix_4h_matrix_channel_width_change_1bar,0.29425021080150454
tf1h_current_price_delta_60m,0.29407227888856113
matrix_1h_close_time,0.29065318664470474
tf1h_current_price_change_ratio_60m,0.28439434002971875
tf1h_hour_sin,0.28246414688218896
tf24h_total_volume_imbalance_check_delta_30m,0.2754272632343058
tf24h_hour_cos,0.26288715113050715
matrix_4h_matrix_inside_channel,0.24639328683837528
matrix_24h_matrix_vwma_slope_5bar_pct,0.2298492017826916
tf24h_current_price_delta_60m,0.21435979379812545
tf4h_current_price_delta_15m,0.20075390687060343
tf4h_current_price_delta_60m,0.20024430362993165
tf4h_hour_cos,0.19855352079405708
matrix_4h_matrix_bars_since_flip,0.19828710969478736
tf1h_current_price_delta_5m,0.18883974634206624
matrix_4h_matrix_source_return_5bar,0.17224890214970212
tf24h_topology_imbalance_delta_30m,0.14315450846773706
tf4h_topology_imbalance_delta_30m,0.13043658138134048
tf4h_topology_imbalance,0.11942543466487678
tf1h_upper_pool_volume,0.10716073765832304
tf4h_current_price_change_ratio_30m,0.10547549601593356
matrix_1h_matrix_vwma_slope_3bar_pct,0.10100279127338621
tf4h_upper_total_volume_change_ratio_30m,0.09879288974115602
tf4h_upper_total_volume_change_ratio_15m,0.09317600269044617
tf24h_total_volume_imbalance_check_change_ratio_60m,0.0
tf24h_total_volume_imbalance_check,0.0
tf24h_topology_imbalance_delta_60m,0.0
tf24h_upper_pool_volume_delta_30m,0.0
tf24h_topology_imbalance_change_ratio_60m,0.0
tf24h_topology_imbalance_change_ratio_30m,0.0
tf4h_distance_advantage_change_ratio_30m,0.0
tf24h_timeframe,0.0
tf24h_snapshot_age_seconds,0.0
tf4h_distance_advantage_change_ratio_60m,0.0
tf4h_distance_advantage_delta_15m,0.0
tf24h_signed_distance_edge_delta_60m,0.0
tf24h_signed_distance_edge_delta_30m,0.0
tf24h_signed_distance_edge_change_ratio_60m,0.0
tf24h_signed_distance_edge_change_ratio_30m,0.0
tf4h_distance_advantage_delta_30m,0.0
tf4h_distance_pressure_ratio,0.0
tf24h_upper_pool_volume_delta_60m,0.0
tf24h_total_volume_imbalance_check_change_ratio_30m,0.0
tf24h_upper_pool_volume_change_ratio_30m,0.0
tf24h_upper_total_volume_change_ratio_60m,0.0
tf24h_upper_total_volume_delta_30m,0.0
tf24h_upper_total_volume_delta_60m,0.0
tf4h_active_level_difference,0.0
tf24h_upper_pool_volume,0.0
tf24h_upper_distance_pct_delta_60m,0.0
tf24h_upper_distance_pct_delta_30m,0.0
tf24h_upper_distance_pct_change_ratio_60m,0.0
tf24h_upper_distance_pct_change_ratio_30m,0.0
tf24h_total_volume_imbalance_check_delta_60m,0.0
tf4h_current_price_change_ratio_60m,0.0
tf24h_upper_active_levels_delta_60m,0.0
tf24h_upper_active_levels_delta_30m,0.0
tf24h_upper_total_volume_change_ratio_30m,0.0
tf4h_current_price_delta_30m,0.0
tf24h_upper_active_levels_change_ratio_60m,0.0
tf24h_upper_active_levels_change_ratio_30m,0.0
tf24h_upper_pool_volume_change_ratio_60m,0.0
tf4h_distance_advantage,0.0
tf4h_distance_advantage_change_ratio_15m,0.0
tf24h_upper_distance_pct,0.0
tf24h_lower_active_levels_delta_60m,0.0
tf24h_lower_active_levels_delta_30m,0.0
tf24h_lower_active_levels_change_ratio_60m,0.0
tf24h_lower_active_levels_change_ratio_30m,0.0
tf24h_is_weekend_utc,0.0
tf24h_hour_sin,0.0
tf24h_history_valid_60m,0.0
tf24h_history_valid_30m,0.0
tf24h_history_actual_minutes_60m,0.0
tf24h_history_actual_minutes_30m,0.0
tf24h_has_upper_level,0.0
tf24h_has_topology,0.0
tf24h_has_lower_level,0.0
tf4h_distance_advantage_delta_60m,0.0
tf24h_farther_pool_volume_delta_30m,0.0
tf24h_farther_pool_volume_change_ratio_60m,0.0
tf24h_farther_pool_volume_change_ratio_30m,0.0
tf24h_farther_pool_volume,0.0
tf24h_dow_cos,0.0
tf24h_distance_pressure_ratio_delta_60m,0.0
tf24h_distance_pressure_ratio_delta_30m,0.0
tf24h_distance_pressure_ratio_change_ratio_60m,0.0
tf24h_distance_pressure_ratio_change_ratio_30m,0.0
tf24h_distance_pressure_ratio,0.0
tf24h_distance_advantage_delta_60m,0.0
tf24h_distance_advantage_delta_30m,0.0
tf24h_distance_advantage_change_ratio_60m,0.0
tf24h_distance_advantage_change_ratio_30m,0.0
tf24h_farther_pool_volume_delta_60m,0.0
tf24h_signed_distance_edge,0.0
tf24h_pool_volume_ratio_delta_60m,0.0
tf24h_pool_volume_ratio_delta_30m,0.0
tf24h_pool_volume_ratio_change_ratio_60m,0.0
tf24h_pool_volume_ratio_change_ratio_30m,0.0
tf24h_pool_volume_ratio,0.0
tf24h_nearest_side_stable_60m,0.0
tf24h_nearest_side_stable_30m,0.0
tf24h_nearest_side_code,0.0
tf24h_nearest_side,0.0
tf24h_nearest_pool_volume_delta_60m,0.0
tf24h_nearest_pool_volume_delta_30m,0.0
tf24h_nearest_pool_volume_change_ratio_60m,0.0
tf24h_lower_distance_pct,0.0
tf24h_nearest_pool_volume,0.0
tf24h_lower_total_volume_delta_60m,0.0
tf24h_lower_total_volume_delta_30m,0.0
tf24h_lower_total_volume_change_ratio_60m,0.0
tf24h_lower_total_volume_change_ratio_30m,0.0
tf24h_lower_pool_volume_delta_60m,0.0
tf24h_lower_pool_volume_delta_30m,0.0
tf24h_lower_pool_volume_change_ratio_60m,0.0
tf24h_lower_pool_volume_change_ratio_30m,0.0
tf24h_lower_pool_volume,0.0
tf24h_lower_distance_pct_delta_60m,0.0
tf24h_lower_distance_pct_delta_30m,0.0
tf24h_lower_distance_pct_change_ratio_60m,0.0
tf24h_lower_distance_pct_change_ratio_30m,0.0
tf24h_nearest_pool_volume_change_ratio_30m,0.0
tf4h_total_volume_imbalance_check,0.0
tf4h_topology_imbalance_delta_60m,0.0
tf4h_topology_imbalance_delta_15m,0.0
tf4h_topology_imbalance_change_ratio_60m,0.0
tf4h_topology_imbalance_change_ratio_30m,0.0
tf4h_topology_imbalance_change_ratio_15m,0.0
tf4h_timeframe,0.0
tf4h_snapshot_age_seconds,0.0
tf4h_signed_distance_edge_delta_60m,0.0
tf4h_signed_distance_edge_delta_30m,0.0
tf4h_signed_distance_edge_delta_15m,0.0
tf4h_signed_distance_edge_change_ratio_60m,0.0
tf4h_signed_distance_edge_change_ratio_30m,0.0
tf4h_lower_active_levels_change_ratio_60m,0.0
tf4h_signed_distance_edge,0.0
tf4h_pool_volume_ratio_delta_60m,0.0
tf4h_pool_volume_ratio_delta_30m,0.0
tf4h_pool_volume_ratio_delta_15m,0.0
tf4h_pool_volume_ratio_change_ratio_60m,0.0
tf4h_pool_volume_ratio_change_ratio_15m,0.0
tf4h_pool_volume_ratio,0.0
tf4h_nearest_side_stable_60m,0.0
tf4h_nearest_side_stable_30m,0.0
tf4h_nearest_side_stable_15m,0.0
tf4h_nearest_side_code,0.0
tf4h_nearest_side,0.0
tf4h_nearest_pool_volume_delta_60m,0.0
tf4h_nearest_pool_volume_delta_30m,0.0
tf4h_signed_distance_edge_change_ratio_15m,0.0
tf4h_upper_total_volume_delta_60m,0.0
tf4h_upper_total_volume_delta_30m,0.0
tf4h_upper_total_volume_delta_15m,0.0
tf4h_upper_pool_volume_delta_60m,0.0
tf4h_upper_pool_volume_delta_30m,0.0
tf4h_upper_pool_volume_delta_15m,0.0
tf4h_upper_pool_volume_change_ratio_60m,0.0
tf4h_upper_pool_volume_change_ratio_30m,0.0
tf4h_upper_pool_volume_change_ratio_15m,0.0
tf4h_upper_pool_volume,0.0
tf4h_upper_distance_pct_delta_60m,0.0
tf4h_upper_distance_pct_delta_30m,0.0
tf4h_upper_distance_pct_delta_15m,0.0
tf4h_total_volume_imbalance_check_change_ratio_15m,0.0
tf4h_upper_distance_pct_change_ratio_30m,0.0
tf4h_upper_distance_pct_change_ratio_15m,0.0
tf4h_upper_distance_pct,0.0
tf4h_upper_active_levels_delta_60m,0.0
tf4h_upper_active_levels_delta_30m,0.0
tf4h_upper_active_levels_change_ratio_60m,0.0
tf4h_upper_active_levels_change_ratio_30m,0.0
tf4h_upper_active_levels_change_ratio_15m,0.0
tf4h_upper_active_levels,0.0
tf4h_total_volume_imbalance_check_delta_60m,0.0
tf4h_total_volume_imbalance_check_delta_30m,0.0
tf4h_total_volume_imbalance_check_delta_15m,0.0
matrix_1h_matrix_flip,0.0
tf4h_total_volume_imbalance_check_change_ratio_30m,0.0
tf4h_upper_distance_pct_change_ratio_60m,0.0
tf4h_lower_active_levels_change_ratio_30m,0.0
tf4h_lower_active_levels_change_ratio_15m,0.0
tf4h_lower_active_levels,0.0
tf4h_is_weekend_utc,0.0
tf4h_hour_sin,0.0
tf4h_history_valid_60m,0.0
tf4h_history_valid_30m,0.0
tf4h_history_valid_15m,0.0
tf4h_history_actual_minutes_60m,0.0
tf4h_history_actual_minutes_30m,0.0
tf4h_history_actual_minutes_15m,0.0
tf4h_has_upper_level,0.0
tf4h_has_topology,0.0
tf4h_nearest_pool_volume_delta_15m,0.0
tf4h_farther_pool_volume_delta_60m,0.0
tf4h_farther_pool_volume_delta_30m,0.0
tf4h_farther_pool_volume_delta_15m,0.0
tf4h_farther_pool_volume_change_ratio_60m,0.0
tf4h_farther_pool_volume_change_ratio_30m,0.0
tf4h_farther_pool_volume_change_ratio_15m,0.0
tf4h_farther_pool_volume,0.0
tf4h_dow_cos,0.0
tf4h_distance_pressure_ratio_delta_60m,0.0
tf4h_distance_pressure_ratio_delta_30m,0.0
tf4h_distance_pressure_ratio_delta_15m,0.0
tf4h_distance_pressure_ratio_change_ratio_60m,0.0
tf4h_distance_pressure_ratio_change_ratio_30m,0.0
tf4h_distance_pressure_ratio_change_ratio_15m,0.0
tf4h_has_lower_level,0.0
tf4h_nearest_pool_volume_change_ratio_60m,0.0
tf4h_nearest_pool_volume_change_ratio_30m,0.0
tf4h_nearest_pool_volume_change_ratio_15m,0.0
tf4h_nearest_pool_volume,0.0
tf4h_lower_total_volume_delta_60m,0.0
tf4h_lower_total_volume_delta_30m,0.0
tf4h_lower_total_volume_delta_15m,0.0
tf4h_lower_total_volume_change_ratio_60m,0.0
tf4h_lower_total_volume_change_ratio_30m,0.0
tf4h_lower_total_volume_change_ratio_15m,0.0
tf4h_lower_total_volume,0.0
tf4h_lower_pool_volume_delta_60m,0.0
tf4h_lower_pool_volume_delta_30m,0.0
tf24h_distance_advantage,0.0
tf4h_lower_pool_volume_change_ratio_60m,0.0
tf4h_lower_pool_volume_change_ratio_30m,0.0
tf4h_lower_pool_volume_change_ratio_15m,0.0
tf4h_lower_pool_volume,0.0
tf4h_lower_distance_pct_delta_60m,0.0
tf4h_lower_distance_pct_delta_30m,0.0
tf4h_lower_distance_pct_delta_15m,0.0
tf4h_lower_distance_pct_change_ratio_60m,0.0
tf4h_lower_distance_pct_change_ratio_30m,0.0
tf4h_lower_distance_pct_change_ratio_15m,0.0
tf4h_lower_distance_pct,0.0
tf4h_lower_active_levels_delta_60m,0.0
tf4h_lower_active_levels_delta_30m,0.0
tf4h_lower_active_levels_delta_15m,0.0
tf4h_lower_pool_volume_delta_15m,0.0
tf1h_distance_pressure_ratio_delta_30m,0.0
tf1h_distance_pressure_ratio_delta_15m,0.0
tf1h_distance_pressure_ratio_change_ratio_60m,0.0
tf1h_distance_pressure_ratio_change_ratio_5m,0.0
tf1h_distance_pressure_ratio_change_ratio_30m,0.0
tf1h_distance_pressure_ratio_change_ratio_15m,0.0
tf1h_distance_pressure_ratio,0.0
tf1h_distance_advantage_delta_60m,0.0
tf1h_distance_advantage_delta_5m,0.0
tf1h_distance_advantage_delta_30m,0.0
tf1h_distance_advantage_delta_15m,0.0
tf1h_distance_advantage_change_ratio_60m,0.0
tf1h_distance_advantage_change_ratio_5m,0.0
tf1h_upper_distance_pct_change_ratio_5m,0.0
tf1h_distance_advantage_change_ratio_15m,0.0
tf1h_distance_advantage,0.0
tf1h_current_price_change_ratio_5m,0.0
tf1h_current_price_change_ratio_30m,0.0
tf1h_active_level_total,0.0
tf1h_active_level_difference,0.0
price_acceleration_5m_15m,0.0
mtf_topology_imbalance_range,0.0
mtf_topology_imbalance_4h_minus_24h,0.0
mtf_topology_imbalance_1h_minus_4h,0.0
mtf_signed_distance_edge_range,0.0
mtf_signed_distance_edge_4h_minus_24h,0.0
mtf_signed_distance_edge_1h_minus_4h,0.0
mtf_side_valid_count,0.0
tf1h_distance_advantage_change_ratio_30m,0.0
tf1h_lower_active_levels_delta_30m,0.0
tf1h_lower_active_levels_delta_15m,0.0
tf1h_lower_active_levels_change_ratio_60m,0.0
tf1h_lower_active_levels_change_ratio_5m,0.0
tf1h_lower_active_levels_change_ratio_30m,0.0
tf1h_lower_active_levels_change_ratio_15m,0.0
tf1h_lower_active_levels,0.0
tf1h_history_valid_60m,0.0
tf1h_history_valid_5m,0.0
tf1h_history_valid_30m,0.0
tf1h_history_valid_15m,0.0
tf1h_history_actual_minutes_60m,0.0
tf1h_history_actual_minutes_5m,0.0
tf1h_history_actual_minutes_30m,0.0
tf1h_distance_pressure_ratio_delta_5m,0.0
tf1h_has_upper_level,0.0
tf1h_has_topology,0.0
tf1h_has_lower_level,0.0
tf1h_farther_pool_volume_delta_60m,0.0
tf1h_farther_pool_volume_delta_5m,0.0
tf1h_farther_pool_volume_delta_30m,0.0
tf1h_farther_pool_volume_delta_15m,0.0
tf1h_farther_pool_volume_change_ratio_60m,0.0
tf1h_farther_pool_volume_change_ratio_5m,0.0
tf1h_farther_pool_volume_change_ratio_30m,0.0
tf1h_farther_pool_volume_change_ratio_15m,0.0
tf1h_farther_pool_volume,0.0
tf1h_dow_cos,0.0
