feature,importance
tf1h_active_level_total,8.720363128987918
tf24h_lower_total_volume,6.930329085365056
tf1h_hour_sin,6.108333725670639
tf1h_hour_cos,5.131386646254767
tf4h_active_level_total,4.677126262132414
tf4h_lower_active_levels,3.8212283630658432
tf24h_hour_cos,3.5436090874425457
tf24h_active_level_difference,3.282068235418699
tf4h_upper_active_levels,3.2077682526650575
tf1h_dow_sin,2.8112018974300415
tf24h_upper_total_volume,2.649964034364586
tf4h_dow_sin,2.4790801756135616
tf24h_upper_active_levels,2.305732036249735
tf24h_lower_active_levels,2.1730675750818245
tf4h_hour_sin,1.817143290573562
tf1h_is_weekend_utc,1.7843256846510331
tf24h_active_level_total,1.7530293417127363
tf1h_dow_cos,1.6898007412146452
tf24h_hour_sin,1.683744779118169
tf4h_lower_total_volume_change_ratio_60m,1.6668419486744726
tf4h_active_level_difference,1.6294807258064705
tf24h_dow_sin,1.5739018134586407
price_return_15m,1.4177598294466351
tf1h_lower_total_volume,1.4102944577211496
tf4h_hour_cos,1.3583412094452658
tf1h_upper_total_volume,1.1468563787525068
tf1h_current_price_delta_15m,1.0282652181838825
tf1h_current_price_delta_60m,1.009646495425069
price_return_5m,1.0072275587606205
tf4h_lower_total_volume,0.9646801761186734
tf24h_lower_total_volume_delta_30m,0.8684745540650304
tf4h_lower_active_levels_change_ratio_60m,0.7967110261507889
tf4h_upper_active_levels_delta_60m,0.7009323146012705
mtf_topology_imbalance_4h_minus_24h,0.6997798103653956
tf1h_lower_total_volume_delta_60m,0.6826209280358818
tf24h_is_weekend_utc,0.6552480475692796
price_return_30m,0.6491784301406526
tf1h_upper_active_levels,0.5990777011252891
tf1h_active_level_difference,0.5638319773831443
tf24h_dow_cos,0.558142889633207
tf4h_upper_total_volume,0.4899026760861653
tf24h_lower_active_levels_change_ratio_60m,0.4878970186324167
tf1h_upper_active_levels_change_ratio_60m,0.47576855290782216
tf4h_lower_total_volume_delta_60m,0.47016515429247063
tf4h_upper_active_levels_change_ratio_60m,0.41455300413535484
tf1h_lower_active_levels_change_ratio_30m,0.3768230537910717
tf24h_lower_total_volume_delta_60m,0.3401817152056838
tf1h_current_price_delta_5m,0.31121579378286524
tf24h_upper_active_levels_change_ratio_60m,0.30849724791236194
tf24h_upper_active_levels_change_ratio_30m,0.2933640262291271
tf1h_current_price_delta_30m,0.28877380510547196
tf1h_upper_active_levels_delta_60m,0.2870115297562898
tf4h_current_price_change_ratio_60m,0.28488303537505755
tf24h_topology_imbalance,0.2754059993637015
tf1h_current_price_change_ratio_15m,0.27464684499884306
tf4h_current_price_change_ratio_15m,0.2557550342404105
tf1h_lower_total_volume_delta_30m,0.2536189615795648
tf1h_lower_active_levels_delta_60m,0.2504709899073305
tf24h_current_price_change_ratio_60m,0.2476515444166736
tf4h_dow_cos,0.240389729023637
tf4h_current_price_delta_15m,0.22804808529668333
tf24h_lower_total_volume_change_ratio_30m,0.22657899729484102
tf24h_upper_active_levels_delta_60m,0.22570643336639842
tf1h_upper_total_volume_change_ratio_60m,0.2180419529885503
tf1h_upper_total_volume_delta_60m,0.20108752752300524
tf1h_lower_total_volume_change_ratio_60m,0.18718974476371597
mtf_distance_pressure_ratio_range,0.16861190354748054
tf24h_upper_pool_volume,0.16749199546264842
tf24h_current_price_delta_60m,0.16429817347953418
tf1h_topology_imbalance_change_ratio_60m,0.15621079122531473
tf1h_upper_active_levels_delta_30m,0.15204180100340015
tf1h_upper_total_volume_delta_15m,0.14123300956547782
tf24h_current_price_change_ratio_30m,0.14086463111862702
tf4h_topology_imbalance,0.13623061264158667
tf4h_distance_advantage,0.13457128373633873
tf1h_current_price_change_ratio_60m,0.13137669904373667
tf24h_lower_total_volume_change_ratio_60m,0.1224553196252867
tf24h_upper_total_volume_delta_30m,0.12032499842742178
tf4h_current_price_delta_60m,0.11669731482951395
tf24h_lower_active_levels_change_ratio_30m,0.11183058729274281
tf4h_upper_active_levels_delta_30m,0.10860754334509327
tf1h_distance_advantage_change_ratio_5m,0.10663029521151145
price_acceleration_5m_15m,0.10614479297162398
mtf_topology_imbalance_range,0.10153480656964557
tf1h_lower_active_levels_change_ratio_60m,0.09905289172301406
tf24h_upper_active_levels_delta_30m,0.0985118801041692
tf24h_total_volume_imbalance_check,0.09841335388069239
tf4h_lower_active_levels_delta_30m,0.079172471260393
tf1h_lower_active_levels,0.07741645930241572
tf24h_topology_imbalance_delta_60m,0.07694483335169207
tf4h_lower_pool_volume,0.07611493719471506
tf4h_distance_advantage_change_ratio_60m,0.07178640410836054
tf1h_lower_distance_pct_delta_15m,0.06833455782365516
tf1h_distance_advantage,0.0646550169492062
tf4h_upper_active_levels_change_ratio_30m,0.06159296776557628
tf24h_lower_active_levels_delta_60m,0.05949449704413078
tf4h_upper_active_levels_change_ratio_15m,0.05905777508243344
tf1h_lower_total_volume_delta_15m,0.0590428610847822
tf1h_upper_total_volume_change_ratio_15m,0.0545423951729249
tf4h_lower_total_volume_delta_30m,0.05438027006318104
tf4h_upper_pool_volume_delta_60m,0.05337734477809509
tf1h_upper_active_levels_change_ratio_30m,0.05197734257066797
tf1h_topology_imbalance_delta_15m,0.051751607044663896
tf1h_distance_advantage_change_ratio_30m,0.0517385485675782
mtf_pool_volume_ratio_range,0.05102782330376429
tf1h_current_price_change_ratio_5m,0.047547465622046724
tf1h_lower_total_volume_change_ratio_30m,0.046302624552217626
tf24h_upper_total_volume_delta_60m,0.04585112866406346
tf4h_lower_active_levels_change_ratio_30m,0.04484335111530267
tf4h_history_actual_minutes_60m,0.043645110076496414
tf4h_upper_total_volume_delta_30m,0.042867298748748325
mtf_topology_imbalance_1h_minus_4h,0.04283256707968275
tf1h_upper_pool_volume,0.042171483102934997
tf4h_topology_imbalance_change_ratio_60m,0.04110585289031
tf1h_upper_pool_volume_change_ratio_60m,0.03558438292457356
tf24h_topology_imbalance_change_ratio_30m,0.03490929863968302
tf4h_history_actual_minutes_30m,0.03441114186686075
tf24h_upper_total_volume_change_ratio_60m,0.0325641828531293
tf1h_distance_advantage_delta_15m,0.032553058469004345
tf1h_lower_active_levels_change_ratio_15m,0.029048681197160066
tf24h_lower_distance_pct_change_ratio_60m,0.02581011182362311
tf1h_signed_distance_edge_delta_30m,0.024330354815265992
tf1h_distance_advantage_change_ratio_60m,0.023231703642961836
tf1h_history_actual_minutes_60m,0.019030416022694195
