feature,importance
tf1h_active_level_total,6.56252580272446
tf1h_hour_sin,4.904322250886383
tf24h_lower_total_volume,4.192820741497912
tf1h_hour_cos,4.171638170930462
tf1h_dow_sin,4.140302278133673
tf24h_upper_total_volume,3.2429564499227
tf24h_active_level_difference,3.20987692229527
tf4h_upper_active_levels,3.1833372492789525
tf4h_hour_sin,2.7083297331486555
tf4h_active_level_difference,2.6757610112976957
tf24h_hour_cos,2.562224252432352
tf4h_active_level_total,2.3578899606073898
tf24h_upper_active_levels,2.265572284078844
tf4h_hour_cos,2.2340609009678567
tf1h_dow_cos,1.8954905079435436
tf24h_hour_sin,1.8871829943305374
tf24h_lower_active_levels,1.734485969311464
tf24h_dow_sin,1.6711629682550428
tf24h_active_level_total,1.5398337342346538
tf4h_lower_total_volume,1.5271164903599477
price_return_30m,1.5182331665617097
tf1h_is_weekend_utc,1.5166864049715325
price_return_15m,1.4473534057279218
tf4h_lower_active_levels_change_ratio_60m,1.3451380843687695
tf1h_upper_total_volume,1.1964700699831297
tf1h_current_price_change_ratio_60m,1.1540363106087077
tf4h_dow_cos,1.0154479084869072
tf1h_lower_total_volume,0.9821465063017539
price_return_5m,0.8432589698483517
tf4h_dow_sin,0.8110023216636207
tf24h_lower_active_levels_change_ratio_60m,0.7924667788149762
tf24h_dow_cos,0.7870891835059444
tf1h_current_price_delta_30m,0.7744575331424569
tf1h_current_price_delta_15m,0.769931314398647
tf1h_lower_total_volume_delta_60m,0.7060542555501864
tf1h_upper_active_levels,0.679459333920841
tf1h_lower_active_levels_delta_60m,0.6784451492374323
tf4h_upper_active_levels_change_ratio_30m,0.6242167686619076
tf4h_upper_active_levels_change_ratio_60m,0.5828087889686261
tf4h_lower_active_levels_delta_60m,0.5788771142467697
tf24h_upper_active_levels_change_ratio_30m,0.5651511651389857
tf24h_upper_pool_volume,0.5566115965186595
tf24h_upper_active_levels_change_ratio_60m,0.479040471397383
tf1h_upper_active_levels_delta_60m,0.47752425772718626
tf4h_upper_total_volume,0.47238586488751
tf4h_lower_active_levels,0.470535826367967
tf1h_lower_active_levels_delta_30m,0.4679612413383313
tf24h_lower_active_levels_delta_60m,0.4651982192418462
tf1h_active_level_difference,0.4457058551089259
tf1h_current_price_delta_60m,0.42967458830944627
tf4h_upper_active_levels_delta_60m,0.4148112523208006
tf4h_upper_pool_volume,0.41447472049099265
tf24h_upper_active_levels_delta_30m,0.3965238184433146
tf1h_upper_active_levels_change_ratio_60m,0.3869386869937206
tf1h_upper_total_volume_delta_60m,0.38095981871595813
tf24h_lower_active_levels_change_ratio_30m,0.3709204271316999
price_acceleration_5m_15m,0.3455000704489414
mtf_topology_imbalance_4h_minus_24h,0.33452509750549225
tf1h_lower_active_levels_change_ratio_60m,0.32188840401952395
tf24h_upper_active_levels_delta_60m,0.3060390990522424
tf1h_current_price_delta_5m,0.3042793049459821
tf4h_current_price_delta_15m,0.2735367745400678
tf4h_topology_imbalance,0.27067977986485076
tf4h_current_price_change_ratio_15m,0.2587179286887583
tf4h_current_price_change_ratio_60m,0.2580946918595744
tf1h_upper_total_volume_delta_30m,0.24489734293856297
tf24h_upper_pool_volume_delta_60m,0.24485074477827762
tf1h_current_price_change_ratio_15m,0.23914215180897824
tf1h_upper_active_levels_change_ratio_5m,0.22177623763940302
tf4h_upper_active_levels_delta_30m,0.21886389933677203
tf4h_lower_total_volume_change_ratio_60m,0.2032855737742051
tf1h_upper_active_levels_change_ratio_30m,0.20322882082272598
tf1h_lower_active_levels,0.19900828955783365
tf24h_current_price_delta_30m,0.19646912845074105
tf24h_lower_pool_volume,0.19189001465165292
tf1h_upper_total_volume_delta_15m,0.19044468735773706
tf24h_current_price_change_ratio_60m,0.18101792045887183
tf1h_upper_active_levels_change_ratio_15m,0.18034892489105714
tf24h_current_price_delta_60m,0.17185256202692956
tf4h_nearest_pool_volume,0.17166134865468535
tf1h_lower_active_levels_change_ratio_30m,0.16994654108590104
tf4h_lower_total_volume_delta_60m,0.16261354904148295
tf24h_is_weekend_utc,0.14703642485003277
tf1h_upper_total_volume_change_ratio_5m,0.14130011477147708
tf24h_upper_total_volume_delta_60m,0.14083736629473678
tf4h_current_price_delta_60m,0.1372120972381273
tf1h_lower_active_levels_change_ratio_15m,0.1360927220750262
tf4h_upper_active_levels_change_ratio_15m,0.13154041129227564
tf24h_lower_total_volume_delta_30m,0.1268070423067762
mtf_signed_distance_edge_range,0.12629966215161473
tf1h_distance_advantage,0.12112314510227495
tf1h_upper_total_volume_change_ratio_60m,0.11996871369053393
tf4h_distance_pressure_ratio,0.11941626564333345
tf1h_topology_imbalance_change_ratio_60m,0.11918175909972425
tf4h_lower_total_volume_delta_30m,0.1182493413709888
tf24h_lower_total_volume_change_ratio_60m,0.11729483853004823
tf1h_upper_total_volume_change_ratio_30m,0.11720561807061607
tf1h_upper_active_levels_delta_30m,0.11425867716888967
tf24h_topology_imbalance,0.11142870190871662
tf4h_history_actual_minutes_60m,0.10828991727554205
tf24h_upper_pool_volume_change_ratio_30m,0.10748311389112626
tf24h_history_actual_minutes_60m,0.10743430904184585
tf1h_history_actual_minutes_60m,0.10713362849973063
mtf_pool_volume_ratio_1h_minus_4h,0.10667466329652601
tf1h_lower_active_levels_change_ratio_5m,0.10427015129980947
tf1h_upper_total_volume_change_ratio_15m,0.10181443847065721
tf4h_pool_volume_ratio,0.10088442272242311
tf1h_lower_total_volume_change_ratio_60m,0.10083721429036363
tf1h_lower_pool_volume,0.10061393957098412
tf24h_nearest_pool_volume,0.0996753706757201
tf1h_lower_distance_pct,0.09885442211688963
tf1h_nearest_pool_volume,0.09823642646516376
tf24h_current_price_change_ratio_30m,0.09381842551219777
mtf_topology_imbalance_range,0.08557503332363983
tf24h_upper_pool_volume_change_ratio_60m,0.08504140789986724
tf1h_upper_distance_pct,0.08455096833893715
tf4h_upper_total_volume_delta_60m,0.08363377231445732
tf4h_upper_total_volume_change_ratio_30m,0.08221494011586493
tf4h_total_volume_imbalance_check,0.08154628836553104
tf1h_nearest_pool_volume_delta_30m,0.08056506260057478
tf24h_distance_advantage,0.07964121768059984
tf24h_lower_distance_pct,0.0793965571403
tf4h_upper_total_volume_change_ratio_60m,0.07806027687940456
tf4h_lower_pool_volume,0.07668771495813168
tf1h_distance_advantage_change_ratio_5m,0.07626798918309141
tf24h_upper_pool_volume_delta_30m,0.07562247433054713
tf1h_lower_active_levels_delta_15m,0.07557597289223324
tf1h_nearest_pool_volume_change_ratio_15m,0.0740099807684102
tf1h_lower_total_volume_delta_15m,0.07032428523312377
tf4h_lower_active_levels_change_ratio_30m,0.06959809392825056
tf4h_distance_advantage,0.06951310726626767
tf1h_lower_total_volume_delta_30m,0.06769974776660422
tf24h_distance_advantage_delta_60m,0.06727105637189006
tf1h_upper_pool_volume_delta_30m,0.06254777427355328
tf4h_upper_distance_pct,0.057415131979601276
tf4h_lower_total_volume_delta_15m,0.056673044905946705
tf4h_lower_active_levels_delta_30m,0.05600375511030099
tf24h_distance_advantage_delta_30m,0.05566195349607628
tf24h_lower_total_volume_delta_60m,0.05516544144006008
tf1h_topology_imbalance_delta_60m,0.055004195519808535
tf4h_topology_imbalance_delta_30m,0.053405711800636316
mtf_pool_volume_ratio_range,0.053263842726121814
tf1h_current_price_change_ratio_30m,0.0522678767695183
tf4h_lower_total_volume_change_ratio_30m,0.05169521833851098
tf1h_history_actual_minutes_15m,0.05051619018139321
tf4h_upper_total_volume_change_ratio_15m,0.049384418943307445
