feature,importance
tf24h_lower_total_volume,6.8291699207252625
tf4h_active_level_total,6.192825562870209
tf1h_dow_sin,5.884693282692989
tf1h_hour_sin,5.395612901197323
tf24h_hour_cos,5.117801754104399
tf1h_hour_cos,4.491677581351454
tf24h_upper_active_levels,3.860073386063289
tf4h_dow_sin,3.845824750440696
tf4h_upper_total_volume,3.4993654388719
tf1h_is_weekend_utc,3.4862464798406982
price_return_15m,2.806903561631689
tf24h_dow_cos,2.4376070622837047
tf1h_dow_cos,2.323340196357774
tf1h_current_price_delta_15m,1.9073376227863656
tf4h_dow_cos,1.8202190434474284
price_return_30m,1.7956952723148742
tf4h_current_price_change_ratio_15m,1.793781306165411
tf24h_hour_sin,1.7124085341951412
tf24h_lower_active_levels,1.703894014773888
tf24h_active_level_difference,1.6924107750876376
price_return_5m,1.5744650128083537
tf4h_hour_sin,1.5619020426650696
tf24h_dow_sin,1.5554242110262393
tf1h_upper_total_volume,1.5549383859469414
tf24h_topology_imbalance_delta_60m,1.4046708796066296
tf24h_lower_total_volume_change_ratio_30m,1.2291826859580304
tf24h_upper_total_volume,1.210676568269687
tf1h_current_price_delta_5m,1.1486750843269677
tf24h_upper_pool_volume,1.1286110219298708
tf4h_lower_total_volume,1.105743756446283
tf1h_current_price_delta_60m,0.8146778952043013
tf24h_topology_imbalance_delta_30m,0.731979861778132
tf4h_lower_total_volume_change_ratio_60m,0.6532149476539121
tf24h_lower_active_levels_change_ratio_60m,0.5694456543855115
tf4h_topology_imbalance,0.560991150892205
tf24h_farther_pool_volume,0.5193631749471445
tf4h_topology_imbalance_delta_15m,0.5088762884409759
tf1h_topology_imbalance,0.49515824463910185
tf4h_hour_cos,0.4907890337605696
tf4h_upper_active_levels_change_ratio_60m,0.4813697493053587
tf4h_topology_imbalance_delta_30m,0.46887353762226075
tf24h_upper_total_volume_delta_60m,0.4516004877156453
tf4h_upper_active_levels,0.44590112175305713
tf1h_upper_total_volume_change_ratio_30m,0.44180972767006066
tf4h_upper_total_volume_change_ratio_15m,0.43433039332261514
tf24h_is_weekend_utc,0.3792962241432864
tf1h_current_price_change_ratio_60m,0.37466703119014105
tf1h_lower_total_volume_delta_60m,0.3666828486517514
tf4h_current_price_change_ratio_60m,0.3354898753529333
tf24h_lower_total_volume_delta_60m,0.33023832620824045
tf24h_upper_total_volume_change_ratio_60m,0.3169987435680009
tf1h_current_price_delta_30m,0.3129758212095219
tf24h_topology_imbalance_change_ratio_60m,0.30381638562940166
price_acceleration_5m_15m,0.2755449718137385
tf1h_lower_total_volume_change_ratio_60m,0.2681059104900352
tf24h_upper_active_levels_change_ratio_60m,0.26771147160951925
tf1h_current_price_change_ratio_15m,0.25475289842345955
tf4h_current_price_delta_15m,0.2517886919259256
tf4h_topology_imbalance_delta_60m,0.24655298742805729
tf4h_total_volume_imbalance_check_change_ratio_30m,0.2391801738017878
tf1h_current_price_change_ratio_5m,0.22768749509686267
tf24h_current_price_change_ratio_60m,0.22657374632054833
tf24h_topology_imbalance,0.22627979270550194
tf1h_upper_pool_volume,0.21826594097956586
tf24h_lower_pool_volume,0.2037034996083128
tf4h_upper_active_levels_change_ratio_30m,0.1849256141983645
tf4h_upper_pool_volume,0.17868851348749043
tf4h_lower_total_volume_delta_30m,0.1654113466230604
tf24h_topology_imbalance_change_ratio_30m,0.15624997817667632
tf24h_upper_total_volume_change_ratio_30m,0.15039616622038487
