symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,mean_mae_bps,mean_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,target_25bps_hit_rate,target_50bps_hit_rate,target_100bps_hit_rate,t50_s25_resolved_target_win_rate,t100_s50_resolved_target_win_rate
ALL,15m,DAILY_4H,15,904,26.604182266717583,14.372713646898516,-22.770348621668255,1.576925064889697,0.4723451327433628,6.728982300884955,0.34845132743362833,0.15597345132743362,0.03650442477876106,0.3087071240105541,0.2440944881889764
ALL,15m,DAILY_4H_1H,15,446,31.539725378458353,19.39497925376843,-25.225322351502975,1.9806333976083057,0.4820627802690583,6.948430493273543,0.4327354260089686,0.18834080717488788,0.04484304932735426,0.3188405797101449,0.23376623376623376
ALL,15m,DAILY_4H_1H_15M,15,446,31.539725378458353,19.39497925376843,-25.225322351502975,1.9806333976083057,0.4820627802690583,6.948430493273543,0.4327354260089686,0.18834080717488788,0.04484304932735426,0.3188405797101449,0.23376623376623376
ALL,15m,DAILY_ONLY,15,1633,24.83489962672962,14.21464108031234,-22.093979294798075,0.2714774658834998,0.46356399265156156,6.594611145131659,0.32823025107164727,0.1359461114513166,0.03184323331292101,0.2916030534351145,0.24509803921568626
ALL,15m,FULL_ALIGNMENT,15,422,31.648658919803456,18.862996682954545,-25.60350501738328,1.8483857102974453,0.47393364928909953,6.931279620853081,0.42890995260663506,0.1895734597156398,0.04739336492890995,0.3197969543147208,0.24
ALL,15m,DAILY_4H,30,904,37.97468096889115,21.520313164540283,-32.207843396082154,1.4734907832661577,0.47013274336283184,13.525442477876107,0.4690265486725664,0.24004424778761063,0.08075221238938053,0.31238095238095237,0.2974137931034483
ALL,15m,DAILY_4H_1H,30,446,43.748573474003265,28.681056001009786,-37.24832695902471,0.39994936256384706,0.4798206278026906,13.522421524663677,0.547085201793722,0.29596412556053814,0.09417040358744394,0.3487544483985765,0.2695035460992908
ALL,15m,DAILY_4H_1H_15M,30,446,43.748573474003265,28.681056001009786,-37.24832695902471,0.39994936256384706,0.4798206278026906,13.522421524663677,0.547085201793722,0.29596412556053814,0.09417040358744394,0.3487544483985765,0.2695035460992908
ALL,15m,DAILY_ONLY,30,1633,35.25682254343296,20.749279538905263,-31.31054592498905,0.06308533389938939,0.46540110226576853,13.275566442131048,0.4543784445805266,0.21800367421922842,0.065523576240049,0.29935622317596566,0.2601010101010101
ALL,15m,FULL_ALIGNMENT,30,422,44.18781739166564,28.169241129823995,-37.92555621816016,0.25834529860605315,0.47393364928909953,13.637440758293838,0.5402843601895735,0.3009478672985782,0.0995260663507109,0.35074626865671643,0.2773722627737226
ALL,15m,DAILY_4H,60,904,51.60553685146265,32.99054595527484,-46.611987962149165,-3.1163088015021767,0.4502212389380531,25.759955752212388,0.5707964601769911,0.3495575221238938,0.14601769911504425,0.3230088495575221,0.31088082901554404
ALL,15m,DAILY_4H_1H,60,446,58.49776161828783,39.58463780099341,-52.51622110258153,-5.341213454895342,0.4484304932735426,24.80269058295964,0.6345291479820628,0.4013452914798206,0.1681614349775785,0.35327635327635326,0.30357142857142855
ALL,15m,DAILY_4H_1H_15M,60,446,58.49776161828783,39.58463780099341,-52.51622110258153,-5.341213454895342,0.4484304932735426,24.80269058295964,0.6345291479820628,0.4013452914798206,0.1681614349775785,0.35327635327635326,0.30357142857142855
ALL,15m,DAILY_ONLY,60,1633,49.10982733023222,30.967329467412874,-44.16642991493629,-0.8286351191110167,0.4684629516227802,25.925903245560317,0.5676668707899571,0.33006736068585424,0.12614819350887937,0.3176954732510288,0.29102167182662536
ALL,15m,FULL_ALIGNMENT,60,422,59.238386317653095,39.66398931258274,-52.80198338073407,-5.016174146843479,0.44075829383886256,24.827014218009477,0.6303317535545023,0.4075829383886256,0.17298578199052134,0.35119047619047616,0.30697674418604654
ALL,15m,DAILY_4H,120,904,72.62739515787868,44.222392206109134,-67.04233702611431,1.5552076203449374,0.44579646017699115,52.23119469026549,0.661504424778761,0.4657079646017699,0.24446902654867256,0.3392405063291139,0.3145869947275923
ALL,15m,DAILY_4H_1H,120,446,82.11158938697754,54.90638929858905,-73.85554517495133,2.6137877325130394,0.4484304932735426,52.17488789237668,0.7130044843049327,0.5291479820627802,0.2757847533632287,0.3805970149253731,0.3225806451612903
